input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon_path,a_,tech_,lines,failed,cdn,knowledgebase_PageType,knowledgebase_pHash,favicon,final_url,tls_wildcard_certificate,tls_self_signed,tls_mismatched,tls_subject_org_,csp_domains_,tls_expired
alertmanager.aws-apsoutheast1.streaming.datastax.com,DataStax - Sign In,200,34778,datastax.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2025-01-15T00:00:00Z,2026-02-14T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ff6784d566f017e9d13e23129e670a2,6df87a0d2550640ca1b933eab993257abedb0c582dc16995719f65badafd238f,ctls,datastax.okta.com,,443,https://alertmanager.aws-apsoutheast1.streaming.datastax.com,https,nginx,text/html,GET,13.215.55.254,/,/bc/image/fileStoreRecord,13.215.55.254,Nginx,220,False,,nonerror,0,1597580860,https://datastax.okta.com/oauth2/v1/authorize?client_id=0oa1fc9co0iCDTk7u1d8&redirect_uri=https%3A%2F%2Fjenkins-scaler.cloud-tools.datastax.com%2Fauth&response_type=code&scope=openid+email+profile+groups&state=u5aE19gSDdhYmFVYYAdK8ychluSkvU,True,,,"Okta, Inc.",http://127.0.0.1:65131,
alertmanager.aws-euwest1.streaming.datastax.com,DataStax - Sign In,200,34794,datastax.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2025-01-15T00:00:00Z,2026-02-14T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ff6784d566f017e9d13e23129e670a2,6df87a0d2550640ca1b933eab993257abedb0c582dc16995719f65badafd238f,ctls,datastax.okta.com,,443,https://alertmanager.aws-euwest1.streaming.datastax.com,https,nginx,text/html,GET,34.243.193.225,/,/bc/image/fileStoreRecord,34.243.193.225,Nginx,220,False,,nonerror,0,1597580860,https://datastax.okta.com/oauth2/v1/authorize?client_id=0oa1fc9co0iCDTk7u1d8&redirect_uri=https%3A%2F%2Fjenkins-scaler.cloud-tools.datastax.com%2Fauth&response_type=code&scope=openid+email+profile+groups&state=KhGdOFrFPXHGDs5fg6b0RoyJ15uFI0XF,True,,,"Okta, Inc.",https://jenkins-scaler.cloud-tools.datastax.com,
alertmanager.aws-useast1.streaming.datastax.com,DataStax - Sign In,200,34858,datastax.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2025-01-15T00:00:00Z,2026-02-14T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ff6784d566f017e9d13e23129e670a2,6df87a0d2550640ca1b933eab993257abedb0c582dc16995719f65badafd238f,ctls,datastax.okta.com,,443,https://alertmanager.aws-useast1.streaming.datastax.com,https,nginx,text/html,GET,54.164.252.115,/,/bc/image/fileStoreRecord,54.164.252.115,Nginx,220,False,,nonerror,0,1597580860,https://datastax.okta.com/oauth2/v1/authorize?client_id=0oa1fc9co0iCDTk7u1d8&redirect_uri=https%3A%2F%2Fjenkins-scaler.cloud-tools.datastax.com%2Fauth&response_type=code&scope=openid+email+profile+groups&state=WJtT4lKzeBGuWCtEwULhAz0R0SyKsca,True,,,"Okta, Inc.",http://localhost:8769,
alertmanager.aws-useast2.dev.streaming.datastax.com,DataStax - Sign In,200,35038,datastax.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2025-01-15T00:00:00Z,2026-02-14T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ff6784d566f017e9d13e23129e670a2,6df87a0d2550640ca1b933eab993257abedb0c582dc16995719f65badafd238f,ctls,datastax.okta.com,,443,https://alertmanager.aws-useast2.dev.streaming.datastax.com,https,nginx,text/html,GET,3.142.229.166,/,/bc/image/fileStoreRecord,3.142.229.166,Nginx,220,False,,nonerror,0,1597580860,https://datastax.okta.com/oauth2/v1/authorize?client_id=0oa1fc9co0iCDTk7u1d8&redirect_uri=https%3A%2F%2Fjenkins-scaler.cloud-tools.datastax.com%2Fauth&response_type=code&scope=openid+email+profile+groups&state=qgZJRWWyB7esVqMm2zJpQbPQAlMKpgd,True,,,"Okta, Inc.",http://localhost:65111,
alertmanager.aws-useast2.staging.streaming.datastax.com,DataStax - Sign In,200,34772,datastax.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2025-01-15T00:00:00Z,2026-02-14T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ff6784d566f017e9d13e23129e670a2,6df87a0d2550640ca1b933eab993257abedb0c582dc16995719f65badafd238f,ctls,datastax.okta.com,,443,https://alertmanager.aws-useast2.staging.streaming.datastax.com,https,nginx,text/html,GET,18.224.244.211,/,/bc/image/fileStoreRecord,18.224.244.211,Nginx,220,False,,nonerror,0,1597580860,https://datastax.okta.com/oauth2/v1/authorize?client_id=0oa1fc9co0iCDTk7u1d8&redirect_uri=https%3A%2F%2Fjenkins-scaler.cloud-tools.datastax.com%2Fauth&response_type=code&scope=openid+email+profile+groups&state=NBrkt6fm7JOwnFJEl9MHoT71uZ0ysi,True,,,"Okta, Inc.",*.vidyard.com,
alertmanager.aws-useast2.streaming.datastax.com,DataStax - Sign In,200,34907,datastax.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2025-01-15T00:00:00Z,2026-02-14T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ff6784d566f017e9d13e23129e670a2,6df87a0d2550640ca1b933eab993257abedb0c582dc16995719f65badafd238f,ctls,datastax.okta.com,,443,https://alertmanager.aws-useast2.streaming.datastax.com,https,nginx,text/html,GET,3.12.236.171,/,/bc/image/fileStoreRecord,3.12.236.171,Nginx,220,False,,nonerror,0,1597580860,https://datastax.okta.com/oauth2/v1/authorize?client_id=0oa1fc9co0iCDTk7u1d8&redirect_uri=https%3A%2F%2Fjenkins-scaler.cloud-tools.datastax.com%2Fauth&response_type=code&scope=openid+email+profile+groups&state=sxzyCq6rnAXpZfujkuqHietDrk8cpM,True,,,"Okta, Inc.",*.authenticatorlocalprod.com:8769,
alertmanager.aws-uswest2.streaming.datastax.com,DataStax - Sign In,200,34965,datastax.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2025-01-15T00:00:00Z,2026-02-14T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ff6784d566f017e9d13e23129e670a2,6df87a0d2550640ca1b933eab993257abedb0c582dc16995719f65badafd238f,ctls,datastax.okta.com,,443,https://alertmanager.aws-uswest2.streaming.datastax.com,https,nginx,text/html,GET,44.240.74.107,/,/bc/image/fileStoreRecord,44.240.74.107,Nginx,220,False,,nonerror,0,1597580860,https://datastax.okta.com/oauth2/v1/authorize?client_id=0oa1fc9co0iCDTk7u1d8&redirect_uri=https%3A%2F%2Fjenkins-scaler.cloud-tools.datastax.com%2Fauth&response_type=code&scope=openid+email+profile+groups&state=60pKrVvTQ4tnXzbjkR0P0XytRTQxKBHH,True,,,"Okta, Inc.",*.tiles.mapbox.com,
alertmanager.azure-ause.streaming.datastax.com,DataStax - Sign In,200,34920,datastax.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2025-01-15T00:00:00Z,2026-02-14T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ff6784d566f017e9d13e23129e670a2,6df87a0d2550640ca1b933eab993257abedb0c582dc16995719f65badafd238f,ctls,datastax.okta.com,,443,https://alertmanager.azure-ause.streaming.datastax.com,https,nginx,text/html,GET,20.211.128.216,/,/bc/image/fileStoreRecord,20.211.128.216,Nginx,220,False,,nonerror,0,1597580860,https://datastax.okta.com/oauth2/v1/authorize?client_id=0oa1fc9co0iCDTk7u1d8&redirect_uri=https%3A%2F%2Fjenkins-scaler.cloud-tools.datastax.com%2Fauth&response_type=code&scope=openid+email+profile+groups&state=888knQs6u4FUm0J6Ttxuel4Ua0sjO,True,,,"Okta, Inc.",https://jenkins-scaler.cloud-tools.datastax.com,
alertmanager.azure-eastus.streaming.datastax.com,DataStax - Sign In,200,34888,datastax.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2025-01-15T00:00:00Z,2026-02-14T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ff6784d566f017e9d13e23129e670a2,6df87a0d2550640ca1b933eab993257abedb0c582dc16995719f65badafd238f,ctls,datastax.okta.com,,443,https://alertmanager.azure-eastus.streaming.datastax.com,https,nginx,text/html,GET,20.237.52.129,/,/bc/image/fileStoreRecord,20.237.52.129,Nginx,220,False,,nonerror,0,1597580860,https://datastax.okta.com/oauth2/v1/authorize?client_id=0oa1fc9co0iCDTk7u1d8&redirect_uri=https%3A%2F%2Fjenkins-scaler.cloud-tools.datastax.com%2Fauth&response_type=code&scope=openid+email+profile+groups&state=Y7qdAXnSIlxz5ruO7hjWhljxPZVvLgX,True,,,"Okta, Inc.",http://localhost:65141,
alertmanager.azure-us-west-2.dev.streaming.datastax.com,DataStax - Sign In,200,34835,datastax.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2025-01-15T00:00:00Z,2026-02-14T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ff6784d566f017e9d13e23129e670a2,6df87a0d2550640ca1b933eab993257abedb0c582dc16995719f65badafd238f,ctls,datastax.okta.com,,443,https://alertmanager.azure-us-west-2.dev.streaming.datastax.com,https,nginx,text/html,GET,20.42.145.221,/,/bc/image/fileStoreRecord,20.42.145.221,Nginx,220,False,,nonerror,0,1597580860,https://datastax.okta.com/oauth2/v1/authorize?client_id=0oa1fc9co0iCDTk7u1d8&redirect_uri=https%3A%2F%2Fjenkins-scaler.cloud-tools.datastax.com%2Fauth&response_type=code&scope=openid+email+profile+groups&state=onLx9cKThkUCgzvFB1k7uNkwBPlKa4,True,,,"Okta, Inc.",http://localhost:65131,
alertmanager.azure-westeurope.streaming.datastax.com,DataStax - Sign In,200,34799,datastax.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2025-01-15T00:00:00Z,2026-02-14T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ff6784d566f017e9d13e23129e670a2,6df87a0d2550640ca1b933eab993257abedb0c582dc16995719f65badafd238f,ctls,datastax.okta.com,,443,https://alertmanager.azure-westeurope.streaming.datastax.com,https,nginx,text/html,GET,20.82.58.15,/,/bc/image/fileStoreRecord,20.82.58.15,Nginx,220,False,,nonerror,0,1597580860,https://datastax.okta.com/oauth2/v1/authorize?client_id=0oa1fc9co0iCDTk7u1d8&redirect_uri=https%3A%2F%2Fjenkins-scaler.cloud-tools.datastax.com%2Fauth&response_type=code&scope=openid+email+profile+groups&state=D94VFAvPEOy52DNN12hQcLe5UQYZbC,True,,,"Okta, Inc.",*.authenticatorlocalprod.com:65151,
alertmanager.azure-westus2.staging.streaming.datastax.com,DataStax - Sign In,200,34764,datastax.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2025-01-15T00:00:00Z,2026-02-14T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ff6784d566f017e9d13e23129e670a2,6df87a0d2550640ca1b933eab993257abedb0c582dc16995719f65badafd238f,ctls,datastax.okta.com,,443,https://alertmanager.azure-westus2.staging.streaming.datastax.com,https,nginx,text/html,GET,40.65.87.162,/,/bc/image/fileStoreRecord,40.65.87.162,Nginx,220,False,,nonerror,0,1597580860,https://datastax.okta.com/oauth2/v1/authorize?client_id=0oa1fc9co0iCDTk7u1d8&redirect_uri=https%3A%2F%2Fjenkins-scaler.cloud-tools.datastax.com%2Fauth&response_type=code&scope=openid+email+profile+groups&state=rb3bpnuzT3wVqCX2Flmg9GYSO9pPBMn2,True,,,"Okta, Inc.",*.ingest.sentry.io,
alertmanager.azure-westus2.streaming.datastax.com,DataStax - Sign In,200,34797,datastax.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2025-01-15T00:00:00Z,2026-02-14T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ff6784d566f017e9d13e23129e670a2,6df87a0d2550640ca1b933eab993257abedb0c582dc16995719f65badafd238f,ctls,datastax.okta.com,,443,https://alertmanager.azure-westus2.streaming.datastax.com,https,nginx,text/html,GET,40.91.91.36,/,/bc/image/fileStoreRecord,40.91.91.36,Nginx,220,False,,nonerror,0,1597580860,https://datastax.okta.com/oauth2/v1/authorize?client_id=0oa1fc9co0iCDTk7u1d8&redirect_uri=https%3A%2F%2Fjenkins-scaler.cloud-tools.datastax.com%2Fauth&response_type=code&scope=openid+email+profile+groups&state=UD4KqOxNVlBCBydYb8sW3WMOdEiLhDVH,True,,,"Okta, Inc.",*.authenticatorlocalprod.com:65151,
alertmanager.bellburnell.dev.streaming.datastax.com,DataStax - Sign In,200,34866,datastax.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2025-01-15T00:00:00Z,2026-02-14T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ff6784d566f017e9d13e23129e670a2,6df87a0d2550640ca1b933eab993257abedb0c582dc16995719f65badafd238f,ctls,datastax.okta.com,,443,https://alertmanager.bellburnell.dev.streaming.datastax.com,https,nginx,text/html,GET,13.58.236.80,/,/bc/image/fileStoreRecord,13.58.236.80,Nginx,220,False,,nonerror,0,1597580860,https://datastax.okta.com/oauth2/v1/authorize?client_id=0oa1fc9co0iCDTk7u1d8&redirect_uri=https%3A%2F%2Fjenkins-scaler.cloud-tools.datastax.com%2Fauth&response_type=code&scope=openid+email+profile+groups&state=VqxbruFRLSnniR3r4ETP1Kqdzv3PhrjD,True,,,"Okta, Inc.",*.tiles.mapbox.com,
alertmanager.bellburnell.staging.streaming.datastax.com,DataStax - Sign In,200,34803,datastax.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2025-01-15T00:00:00Z,2026-02-14T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,9ff6784d566f017e9d13e23129e670a2,6df87a0d2550640ca1b933eab993257abedb0c582dc16995719f65badafd238f,ctls,datastax.okta.com,,443,https://alertmanager.bellburnell.staging.streaming.datastax.com,https,nginx,text/html,GET,3.12.125.108,/,/bc/image/fileStoreRecord,3.12.125.108,Nginx,220,False,,nonerror,0,1597580860,https://datastax.okta.com/oauth2/v1/authorize?client_id=0oa1fc9co0iCDTk7u1d8&redirect_uri=https%3A%2F%2Fjenkins-scaler.cloud-tools.datastax.com%2Fauth&response_type=code&scope=openid+email+profile+groups&state=igG7CgVgpowEQL3ot94kYDI8tVttGg2l,True,,,"Okta, Inc.",http://localhost:65141,
