input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,cdn,webserver,tls_mismatched,csp_domains_,tls_expired
api-catalog-use-gateway.global.rakuten.com,,404,48,api-catalog-use-gateway.global.rakuten.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T00:00:00Z,2024-06-22T23:59:59Z,"CN=*.global.rakuten.com, O=Rakuten Group\, Inc., L=Setagaya-ku, ST=Tokyo, C=JP",*.global.rakuten.com,"Rakuten Group, Inc.",global.rakuten.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1f31917d90752410d4962f4514821442,5d1d922eeec1b0a5a38f4e50aa2e5939391b7c2683bd1f7de911e28d1aa77084,True,ctls,api-catalog-use-gateway.global.rakuten.com,,443,https://api-catalog-use-gateway.global.rakuten.com:443,https,application/json,GET,203.190.62.69,/,834205737,,203.190.62.69,,1,False,,,,,
api-member.insight.rakuten.com,503 Service Temporarily Unavailable,503,190,api-member.insight.rakuten.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-15T00:00:00Z,2023-12-15T23:59:59Z,"CN=*.insight.rakuten.com, O=Rakuten Group\, Inc., L=Setagaya-ku, ST=Tokyo, C=JP",*.insight.rakuten.com,"Rakuten Group, Inc.",insight.rakuten.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1c3b8d63745c84afefc2a103c4af88fa,a7bdace271260b5b329a0815bd6cec61e7ef98adf6196e405f321c64020e9c6b,True,ctls,api-member.insight.rakuten.com,,443,https://api-member.insight.rakuten.com:443,https,text/html,GET,133.237.63.69,/,1457316476,,133.237.63.69,,8,False,,,,,
api.am.account.rakuten.com,404 Page not found,404,272,api.am.account.rakuten.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T19:00:36Z,2024-05-18T19:00:35Z,"CN=loyalty-webpages-bundle-stage-usa.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",loyalty-webpages-bundle-stage-usa.ford.com,Ford Motor Company,loyalty-webpages-bundle-stage-usa.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,d19a878949100e297123404bea71f3ef,34b39a35657ee52755840739f8887ab544a89a58ec90a1584aaa956d5e5a2ca9,,ctls,api.am.account.rakuten.com,google,443,https://api.am.account.rakuten.com:443,https,text/html,GET,35.227.226.229,/,-1320609807,,35.227.226.229,HTTP/3,11,False,True,,True,,
api.eu.account.rakuten.com,403,403,134,api.eu.account.rakuten.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-29T01:10:01Z,2023-10-27T02:02:33Z,CN=www.beta.car-plus.cool,www.beta.car-plus.cool,,cms.beta.car-plus.cool,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,6940b31b598b512280152c68c5fb805f,bc42f1cd602eb00f82219b3b4219a60f7debf28dcf8fd20f8fad82d606188613,,ctls,api.eu.account.rakuten.com,google,443,https://api.eu.account.rakuten.com:443,https,text/html,GET,35.186.246.231,/,1723221432,,35.186.246.231,HTTP/3,1,False,True,,True,,
api.europe.pay.rakuten.com,403 Forbidden,403,118,api.europe.pay.rakuten.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-14T00:00:00Z,2024-04-12T23:59:59Z,"CN=*.europe.pay.rakuten.com, O=Rakuten Group\, Inc., L=Setagaya-ku, ST=Tokyo, C=JP",*.europe.pay.rakuten.com,"Rakuten Group, Inc.",*.europe.pay.rakuten.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c37dc5e060ec58d2902d0b78316d369b,5fffb76c3323d8c034ca8db7fb86be7ba86ad34bcfad52a63835fc9ef43dd403,True,ctls,api.europe.pay.rakuten.com,,443,https://api.europe.pay.rakuten.com:443,https,text/html,GET,3.33.228.9,/,1344368402,,15.197.231.125,,7,False,,awselb/2.0,,,
api.insight.rakuten.com,,404,89,api.insight.rakuten.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-15T00:00:00Z,2023-12-15T23:59:59Z,"CN=*.insight.rakuten.com, O=Rakuten Group\, Inc., L=Setagaya-ku, ST=Tokyo, C=JP",*.insight.rakuten.com,"Rakuten Group, Inc.",insight.rakuten.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1c3b8d63745c84afefc2a103c4af88fa,a7bdace271260b5b329a0815bd6cec61e7ef98adf6196e405f321c64020e9c6b,True,ctls,api.insight.rakuten.com,,443,https://api.insight.rakuten.com:443,https,application/json,GET,133.237.109.72,/,-156517983,,133.237.109.72,Envoy,1,False,,istio-envoy,,,
api.point.global.rakuten.com,,404,76,api.point.global.rakuten.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-27T23:59:59Z,"CN=api.point.global.rakuten.com, O=Rakuten Group\, Inc., L=Setagaya-ku, ST=Tokyo, C=JP",api.point.global.rakuten.com,"Rakuten Group, Inc.",api.point.global.rakuten.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2912ba219bdec2057616ed017b360f35,082b537d95a3f2396223e00f9e76f77958008a78197fc9a0691f1f5b861ce662,,ctls,api.point.global.rakuten.com,azure,443,https://api.point.global.rakuten.com:443,https,application/json,GET,52.233.153.233,/,116323821,,52.233.153.233,Spring,1,False,True,nginx,,,
api.travel.rakuten.com,,404,48,api.travel.rakuten.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-25T00:00:00Z,2024-02-25T23:59:59Z,"CN=*.travel.rakuten.com, O=Rakuten Group\, Inc., L=Setagaya-ku, ST=Tokyo, C=JP",*.travel.rakuten.com,"Rakuten Group, Inc.",travel.rakuten.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ed224ada81fcc0588322ebdc5ff3bf4a,5b59bc1d1d398ce0753adaa23f288eb458ba75bb9874b703d3681f0fbcc9589a,True,ctls,api.travel.rakuten.com,,443,https://api.travel.rakuten.com:443,https,application/json,GET,133.237.62.118,/,834205737,,133.237.62.118,,1,False,,,,,
app.pendo.io,pendo.io,200,2443,app.pendo.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-16T00:46:05Z,2023-09-14T01:42:00Z,CN=pendo.io,pendo.io,,*.pendo.io,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,900e6766944486c762eb58ab1f7cdba0,ea305a8f289c8c4e29b58900113a21e5c91f73ae5b2f3851b585eca9d0378963,True,ctls,app.pendo.io,google,443,https://app.pendo.io:443,https,text/html,GET,34.149.155.70,/,-987300295,,34.149.155.70,Google Cloud CDN,1,False,True,,,,
authenticator.account.rakuten.com,,403,93,authenticator.account.rakuten.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2024-03-22T23:59:59Z,"CN=*.authenticator.account.rakuten.com, O=Rakuten Group\, Inc., L=Setagaya-ku, ST=Tokyo, C=JP",*.authenticator.account.rakuten.com,"Rakuten Group, Inc.",authenticator.account.rakuten.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1ec8f24bda45b1ce517852cf7cf0257e,cf20f871bd4ec5a24d28a28403667fd9b989530f5e15bfded536d0a5d3700172,True,ctls,authenticator.account.rakuten.com,,443,https://authenticator.account.rakuten.com:443,https,text/html,GET,133.237.63.155,/,554631663,https://authenticator.account.rakuten.com/login,133.237.63.155,,4,False,,,,,
autodiscover.mail.rakuten.com,Rakuten Global - Sign In,200,27349,rakuten.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-22T00:00:00Z,2024-04-12T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,"Okta, Inc.",okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,acc0524426e03bda5ac8c153b81141e6,f175750cb39a3759a6c589307b799ceac53db8e46eab6e9a30490fce3aa77149,True,ctls,rakuten.okta.com,,80,http://autodiscover.mail.rakuten.com:80,http,text/html,GET,40.99.214.40,/,-1249852061,https://rakuten.okta.com/app/office365/exkdvyeypYsVHUsZq356/sso/wsfed/passive?client-request-id=9f2a2a57-cff2-476b-8280-5926e830c13c&username=&wa=wsignin1.0&wtrealm=urn%3afederation%3aMicrosoftOnline&wctx=estsredirect%3d2%26estsrequest%3drQQIARAAjZE_TBNhAMX79coJiNIwuWku6lC99r7e_0aGlmt7lNoWobTFmOZ6vaNH7-5r709bICTGOBAnEjcWjCNuGhPDpCuLjITJgYFATAwTo21cHPkNLy95w0vei2AwChMPqX_EyZGSlK5DUtVG7j-cmclwJRLZv_rZzr55XXt8Tv14tgfClmKYUUdp-55mR1VkHQCi5XkdNxGLId8zEWpHka4bqkZz7CiPob4S-wbAMQDnABwEeY4W4hwLaVHgeE5gWEaMqjRD85DXSUZpNkgGchwpMiJPQp0X45CK0yzUToPTxaTvteIjQY6xqV0FJ3TkWPUOcr097D2QVK8goedr6XSqpRTrSyvlrGwPzJqVY825jlHrGi_KvF7NM7bP55jyokjylY1GRk4XOmvUfLGQXLQkYYPvruYoE2Xa7KZVN5OZIZSdWi7ISWVhQ57v9Xi52C21oOr0svzywPW7WbpeRGSfgxocsDW7hMiGaZGdlXhLOMBuNPVnDB8uZSH7CMNRR7ON5nEI_AqBi9AUFUyMj0-Hx-4FHgSuQ-Dj2PCVqvzpw_23a9K7_ZPU5aNI4GgstpReWPdLFOo3G0zByTdysSctRbZNplzJlEpV02dVRjIqfl9JzgoJuIuDXRw_xCfGsXCAwOZK8BwHf3CwcytwOHGDP49vg9MpZhJXTcWw3JnIFmE06x5qazaR2CIGlltX1ZHrKaavuUTiJTGsIF5tb29_vxO4vrtzuf_l68nZb_li-ikSl6sVpp9KcisL5ZRqSSqfpzxx05DXV_vtsqsIupVfVBxpqTb7Fw2,2603:1026:c0d:c1d::8,Nginx,506,False,,nginx,,fonts.gstatic.com,
autodiscover.rakuten.com,Rakuten Global - Sign In,200,27344,rakuten.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-22T00:00:00Z,2024-04-12T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,"Okta, Inc.",okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,acc0524426e03bda5ac8c153b81141e6,f175750cb39a3759a6c589307b799ceac53db8e46eab6e9a30490fce3aa77149,True,ctls,rakuten.okta.com,,80,http://autodiscover.rakuten.com:80,http,text/html,GET,40.99.157.24,/,-1249852061,https://rakuten.okta.com/app/office365/exkdvyeypYsVHUsZq356/sso/wsfed/passive?client-request-id=5548ea29-0f09-2705-d16d-e74e718e09bc&username=&wa=wsignin1.0&wtrealm=urn%3afederation%3aMicrosoftOnline&wctx=estsredirect%3d2%26estsrequest%3drQQIARAAjZFNaNNwAMX7b9q4btOOnTxKEGTDtPlY_k0KO_QjW7e12VdS24mELB9r1qT_tkmTrmN3T7rzwIvHeRsIMhQ87zRFUAaCB8E5EMSLO4krXjzud3g8eIcH701jdIrO3qX-wZBDJSnLokndHLr_6E6OTkxdlJREMn7vnftN6jxJvD4AY12t2fPNVkpH7iEgGr7f9rLpNOr5DkLNFLIsWzdZyA3zNAq19CsATgE4B-AwmoEsz0COZgUeQppnaIpPMbpFMYxukjpjGOTMJjVD8jCzSQoc5DWKEQyaE86iyeVcz28wQ0Fde2D-iiYs1HXVNvL8A-wpKOp-vogWQlEsrlV7pN3hFylUkahVeVCmltxF5UFjPacJwRypBsF2bb626JfrsDQnF1dDJcgXNwrlFbggZmRRyMlS06mWatu5jrTtNuq1XEbMrQVKgwk2TVJdklVnfmBJGrcTBHVe0BzP55ZbZq1uZyDZ2djh1C3xELvWwkcYfrWSi1onGI7aZss2TmPgSwxcxMapaHZkJDkRvx25E7mMgefxqzMkcerPi-k30rPfyvfJ90LkJJ7m59tCuF43_MxWwWyxQiVPuctcX-mn1_thIw_bXImmK2yHlcNZKkvv42Afx4_xxAg2ESGwwgp9joOfOHh8I3KcuMaXp2PgbHxmFNcdzXa9yeldwjZUHzXNFpHdJfqup-r60AWa0zM9IvuQuKogHu3t7b29Gbm89eHj56OXn77-KF0k7ysdZwDLWhX6ct0QdyolbkmrcixnIDMohIGXhmvmwpzpOJQy-xc1,2603:1026:c0d:72::8,Nginx,506,False,,nginx,,login.okta.com,
beta.rakuten.com,Rakuten: Shop. Get Cash Back. Repeat.,200,142456,beta.rakuten.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-28T00:00:00Z,2024-02-11T23:59:59Z,"CN=www.rakuten.com, O=Ebates Performance Marketing\, Inc., L=San Francisco, ST=California, C=US",www.rakuten.com,"Ebates Performance Marketing, Inc.",www2.buy.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,6ecd10781e888a325a7ddecc24582893,d608cc7804a59179d71475c58caab5c35dfd136c163f60210a7ed3aab361de5c,,ctls,beta.rakuten.com,,443,https://beta.rakuten.com:443,https,text/html,GET,104.107.135.65,/,1097649740,,104.107.135.65,Nginx,1634,False,,nginx,,,
bi.fr.shopping.rakuten.com,403 Forbidden,403,318,bi.fr.shopping.rakuten.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-21T00:00:00Z,2024-05-09T23:59:59Z,"CN=*.fr.shopping.rakuten.com, O=Rakuten Group\, Inc., L=Setagaya-ku, ST=Tokyo, C=JP",*.fr.shopping.rakuten.com,"Rakuten Group, Inc.",fr.shopping.rakuten.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e9e9dce3b58934bdbb63745f49e34cd1,52246c48fcf435748bbe0801f4a3aab183cdf86c7b538e60028a5d93a8074e99,True,ctls,bi.fr.shopping.rakuten.com,,443,https://bi.fr.shopping.rakuten.com:443,https,text/html,GET,212.23.167.38,/,2048473482,,212.23.167.38,HSTS,10,False,,Apache,,,
bih.preview-www.rakuten.com,Invalid URL,400,207,bih.preview-www.rakuten.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-28T00:00:00Z,2024-02-11T23:59:59Z,"CN=www.rakuten.com, O=Ebates Performance Marketing\, Inc., L=San Francisco, ST=California, C=US",www.rakuten.com,"Ebates Performance Marketing, Inc.",www2.buy.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,6ecd10781e888a325a7ddecc24582893,d608cc7804a59179d71475c58caab5c35dfd136c163f60210a7ed3aab361de5c,,ctls,bih.preview-www.rakuten.com,,443,https://bih.preview-www.rakuten.com:443,https,text/html,GET,23.44.126.115,/,2061863975,,23.44.126.115,,8,False,,AkamaiGHost,,,
brc.emails.rakuten.com,Rakuten: Shop. Get Cash Back. Repeat.,200,272789,www.rakuten.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-28T00:00:00Z,2024-02-11T23:59:59Z,"CN=www.rakuten.com, O=Ebates Performance Marketing\, Inc., L=San Francisco, ST=California, C=US",www.rakuten.com,"Ebates Performance Marketing, Inc.",www2.buy.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,6ecd10781e888a325a7ddecc24582893,d608cc7804a59179d71475c58caab5c35dfd136c163f60210a7ed3aab361de5c,,ctls,www.rakuten.com,,443,https://brc.emails.rakuten.com:443,https,text/html,GET,54.177.144.27,/,334099703,https://www.rakuten.com/,13.56.90.172,Nginx,1843,False,,nginx,,,
business.rakuten.com,Get more rewarding performance | Rakuten,200,63457,business.rakuten.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-09T17:54:21Z,2023-10-07T17:54:20Z,CN=business.rakuten.com,business.rakuten.com,,www.business.rakuten.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f97c1001e5ee833ffe3d8ef28073c8fa,7f43cfc3563c5f922d762e3f3fa4985f9e2332d862de34fe5e440b77435af6ac,,ctls,business.rakuten.com,,443,https://business.rakuten.com:443,https,text/html,GET,192.0.66.75,/,1274734426,,2a04:fa87:fffd::c000:424b,Yoast SEO:20.7,763,False,,nginx,,,
businessportal.global.rakuten.com,Rakuten for Business,200,924,businessportal.global.rakuten.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-12T00:00:00Z,2023-10-13T23:59:59Z,"CN=*.businessportal.global.rakuten.com, O=Rakuten Group\, Inc., L=Setagaya-ku, ST=Tokyo, C=JP",*.businessportal.global.rakuten.com,"Rakuten Group, Inc.",businessportal.global.rakuten.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,51db1f3c8a951bbb146fa50549a3db50,b52cd390c2dfca254d7408f64e8a3ec6be1e39e16fb6a6e14dc70eb9a78f2577,True,ctls,businessportal.global.rakuten.com,,443,https://businessportal.global.rakuten.com:443,https,text/html,GET,133.237.108.132,/,-926374507,,133.237.108.132,HSTS,1,False,,istio-envoy,,*.rakuten-it.com,
