input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_wildcard_certificate,tls_mismatched,final_url
be.newrelic.com,404 Sorry – You've reached an error on New Relic,404,19755,,be.newrelic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-12T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.newrelic.com,newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ed71d227155f659971e84e5b26104251,b476109ef0cb51262194aa09a02d5f6ce0c1d22b1bc3544dc542c76f855e03d4,ctls,be.newrelic.com,,80,http://be.newrelic.com:80,http,,text/html,GET,162.247.242.169,/,771224655,162.247.242.169,,389,False,,"New Relic, Inc.",True,,https://be.newrelic.com/
beta.newrelic.com,Log in to New Relic,200,59513,,login.newrelic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-12T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.newrelic.com,newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ed71d227155f659971e84e5b26104251,b476109ef0cb51262194aa09a02d5f6ce0c1d22b1bc3544dc542c76f855e03d4,ctls,login.newrelic.com,,443,https://beta.newrelic.com:443,https,nginx,text/html,GET,162.247.242.35,/,-171471091,162.247.242.37,Ruby on Rails,110,False,,"New Relic, Inc.",True,,https://login.newrelic.com/login?return_to=https%3A%2F%2Fbeta.newrelic.com%2F
betav2.service.newrelic.com,404 Sorry – You've reached an error on New Relic,404,19755,,betav2.service.newrelic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-18T00:00:00Z,2023-12-19T23:59:59Z,"CN=*.service.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.service.newrelic.com,service.newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cebc90daed69987d6d0074096ef109f8,cfe6f56332cf8e968987e7f7e651fa8bdc6de19c72b2dbf3d3c0a347b555db71,ctls,betav2.service.newrelic.com,,80,http://betav2.service.newrelic.com:80,http,,text/html,GET,162.247.242.40,/,771224655,162.247.242.39,,389,False,,"New Relic, Inc.",True,,https://betav2.service.newrelic.com/
ca.service.newrelic.com,Log in to New Relic,200,59541,,login.newrelic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-12T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.newrelic.com,newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ed71d227155f659971e84e5b26104251,b476109ef0cb51262194aa09a02d5f6ce0c1d22b1bc3544dc542c76f855e03d4,ctls,login.newrelic.com,,443,https://ca.service.newrelic.com:443,https,nginx,text/html,GET,18.219.167.17,/,1593207841,3.13.8.197,Ruby on Rails,110,False,,"New Relic, Inc.",True,,https://login.newrelic.com/login?return_to=https%3A%2F%2Fca.service.newrelic.com%2F
ca.staging-service.newrelic.com,Log in to New Relic,200,59933,,staging-login.newrelic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-12T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.newrelic.com,newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ed71d227155f659971e84e5b26104251,b476109ef0cb51262194aa09a02d5f6ce0c1d22b1bc3544dc542c76f855e03d4,ctls,staging-login.newrelic.com,,443,https://ca.staging-service.newrelic.com:443,https,nginx,text/html,GET,18.189.241.80,/,1593207841,18.224.224.227,Ruby on Rails,114,False,,"New Relic, Inc.",True,,https://staging-login.newrelic.com/login?return_to=https%3A%2F%2Fca.staging-service.newrelic.com%2F
cf-proxystaging.service.eu.newrelic.com,404 Sorry – You've reached an error on New Relic,404,19755,,cf-proxystaging.service.eu.newrelic.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-29T00:00:00Z,2023-09-29T23:59:59Z,"CN=*.service.eu.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.service.eu.newrelic.com,service.eu.newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,d002cbe86fbd8a3b02d9a05a7753e17b,893a5a67c3cef9060cfeb7d2cb5ef9348638681da681ed0eef9a58d50dcef32f,ctls,cf-proxystaging.service.eu.newrelic.com,,80,http://cf-proxystaging.service.eu.newrelic.com:80,http,,text/html,GET,185.221.86.8,/,771224655,185.221.86.40,,389,False,,"New Relic, Inc.",True,,https://cf-proxystaging.service.eu.newrelic.com/
chi-8-api-internal.service.eu.newrelic.com,404 Sorry – You've reached an error on New Relic,404,19755,,chi-8-api-internal.service.eu.newrelic.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-29T00:00:00Z,2023-09-29T23:59:59Z,"CN=*.service.eu.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.service.eu.newrelic.com,service.eu.newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,d002cbe86fbd8a3b02d9a05a7753e17b,893a5a67c3cef9060cfeb7d2cb5ef9348638681da681ed0eef9a58d50dcef32f,ctls,chi-8-api-internal.service.eu.newrelic.com,,443,https://chi-8-api-internal.service.eu.newrelic.com:443,https,,text/html,GET,185.221.86.8,/,771224655,185.221.86.40,,389,False,,"New Relic, Inc.",True,,
chi-infra-api.newrelic.com,,404,19,,chi-infra-api.newrelic.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-12T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.newrelic.com,newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ed71d227155f659971e84e5b26104251,b476109ef0cb51262194aa09a02d5f6ce0c1d22b1bc3544dc542c76f855e03d4,ctls,chi-infra-api.newrelic.com,,443,https://chi-infra-api.newrelic.com:443,https,,text/plain,GET,162.247.242.5,/,-138391155,162.247.242.5,,2,False,,"New Relic, Inc.",True,,
chi-insights-collector.newrelic.com,,404,2,,chi-insights-collector.newrelic.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-12T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.newrelic.com,newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ed71d227155f659971e84e5b26104251,b476109ef0cb51262194aa09a02d5f6ce0c1d22b1bc3544dc542c76f855e03d4,ctls,chi-insights-collector.newrelic.com,,443,https://chi-insights-collector.newrelic.com:443,https,,application/json,GET,162.247.242.30,/,-1206076886,162.247.242.30,,1,False,,"New Relic, Inc.",True,,
chi-staging-infra-api.newrelic.com,,404,19,,chi-staging-infra-api.newrelic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-12T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.newrelic.com,newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ed71d227155f659971e84e5b26104251,b476109ef0cb51262194aa09a02d5f6ce0c1d22b1bc3544dc542c76f855e03d4,ctls,chi-staging-infra-api.newrelic.com,,443,https://chi-staging-infra-api.newrelic.com:443,https,,text/plain,GET,162.247.242.150,/,-138391155,162.247.242.150,,2,False,,"New Relic, Inc.",True,,
chi-staging-insights-collector.newrelic.com,,404,2,,chi-staging-insights-collector.newrelic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-12T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.newrelic.com,newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ed71d227155f659971e84e5b26104251,b476109ef0cb51262194aa09a02d5f6ce0c1d22b1bc3544dc542c76f855e03d4,ctls,chi-staging-insights-collector.newrelic.com,,80,http://chi-staging-insights-collector.newrelic.com:80,http,,application/json,GET,162.247.242.147,/,-1206076886,162.247.242.147,,1,False,,"New Relic, Inc.",True,,https://chi-staging-insights-collector.newrelic.com/
chi-staging-insights-collector.service.newrelic.com,404 Sorry – You've reached an error on New Relic,404,19755,,chi-staging-insights-collector.service.newrelic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-18T00:00:00Z,2023-12-19T23:59:59Z,"CN=*.service.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.service.newrelic.com,service.newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cebc90daed69987d6d0074096ef109f8,cfe6f56332cf8e968987e7f7e651fa8bdc6de19c72b2dbf3d3c0a347b555db71,ctls,chi-staging-insights-collector.service.newrelic.com,,443,https://chi-staging-insights-collector.service.newrelic.com:443,https,,text/html,GET,162.247.242.38,/,771224655,162.247.242.40,,389,False,,"New Relic, Inc.",True,,
click.notifications.newrelic.com,404 Not Found,404,564,,click.notifications.newrelic.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,ctls,click.notifications.newrelic.com,,443,https://click.notifications.newrelic.com:443,https,nginx,text/html,GET,167.89.118.83,/,1506877856,167.89.123.54,Nginx,14,False,,,True,True,
cloud-collector.eu.newrelic.com,,404,2,,cloud-collector.eu.newrelic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-29T00:00:00Z,2023-09-29T23:59:59Z,"CN=*.eu.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.eu.newrelic.com,eu.newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,05e54b3b010efa75c6c82ee3f77246ec,c5bc1c00bf36b137170122b451a0950c9f53c4399d5f9c72f56815400a1e0ab6,ctls,cloud-collector.eu.newrelic.com,,443,https://cloud-collector.eu.newrelic.com:443,https,cloudflare,application/json,GET,185.221.85.6,/,-138391155,185.221.85.6,Cloudflare,1,False,,"New Relic, Inc.",True,,
cms-o3.service.newrelic.com,404 Sorry – You've reached an error on New Relic,404,19755,,cms-o3.service.newrelic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-18T00:00:00Z,2023-12-19T23:59:59Z,"CN=*.service.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.service.newrelic.com,service.newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cebc90daed69987d6d0074096ef109f8,cfe6f56332cf8e968987e7f7e651fa8bdc6de19c72b2dbf3d3c0a347b555db71,ctls,cms-o3.service.newrelic.com,,443,https://cms-o3.service.newrelic.com:443,https,,text/html,GET,162.247.242.38,/,771224655,162.247.242.40,,389,False,,"New Relic, Inc.",True,,
code.service.newrelic.com,404 Sorry – You've reached an error on New Relic,404,19755,,code.service.newrelic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-18T00:00:00Z,2023-12-19T23:59:59Z,"CN=*.service.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.service.newrelic.com,service.newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cebc90daed69987d6d0074096ef109f8,cfe6f56332cf8e968987e7f7e651fa8bdc6de19c72b2dbf3d3c0a347b555db71,ctls,code.service.newrelic.com,,443,https://code.service.newrelic.com:443,https,,text/html,GET,162.247.242.38,/,771224655,162.247.242.40,,389,False,,"New Relic, Inc.",True,,
collector-6.newrelic.com,,404,19,,collector-6.newrelic.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-12T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.newrelic.com,newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ed71d227155f659971e84e5b26104251,b476109ef0cb51262194aa09a02d5f6ce0c1d22b1bc3544dc542c76f855e03d4,ctls,collector-6.newrelic.com,,443,https://collector-6.newrelic.com:443,https,,text/plain,GET,162.247.242.26,/,-138391155,162.247.242.26,,2,False,,"New Relic, Inc.",True,,
collector-9.newrelic.com,,404,19,,collector-9.newrelic.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-12T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.newrelic.com,newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ed71d227155f659971e84e5b26104251,b476109ef0cb51262194aa09a02d5f6ce0c1d22b1bc3544dc542c76f855e03d4,ctls,collector-9.newrelic.com,,80,http://collector-9.newrelic.com:80,http,,text/plain,GET,162.247.242.14,/,-138391155,162.247.242.14,,2,False,,"New Relic, Inc.",True,,https://collector-9.newrelic.com/
collector-pool.newrelic.com,,404,19,,collector-pool.newrelic.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-12T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.newrelic.com,newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ed71d227155f659971e84e5b26104251,b476109ef0cb51262194aa09a02d5f6ce0c1d22b1bc3544dc542c76f855e03d4,ctls,collector-pool.newrelic.com,,443,https://collector-pool.newrelic.com:443,https,,text/plain,GET,162.247.242.14,/,-138391155,162.247.242.27,,2,False,,"New Relic, Inc.",True,,
collector-pool.staging-collectors.newrelic.com,,400,2,,collector-pool.staging-collectors.newrelic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-13T00:00:00Z,2024-02-13T23:59:59Z,"CN=*.staging-collectors.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.staging-collectors.newrelic.com,staging-collectors.newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,17de601309a05a43fd434f4348256a73,c9044da30b8c93f272b2ce8f719d603a5c3ee80fd43b40e70466e73e1d73a89d,ctls,collector-pool.staging-collectors.newrelic.com,,443,https://collector-pool.staging-collectors.newrelic.com:443,https,cloudflare,text/plain,GET,162.247.241.21,/,-1206076886,162.247.241.21,Cloudflare,1,False,,"New Relic, Inc.",True,,
collector.eu.newrelic.com,,404,2,,collector.eu.newrelic.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-29T00:00:00Z,2023-09-29T23:59:59Z,"CN=*.eu.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.eu.newrelic.com,eu.newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,05e54b3b010efa75c6c82ee3f77246ec,c5bc1c00bf36b137170122b451a0950c9f53c4399d5f9c72f56815400a1e0ab6,ctls,collector.eu.newrelic.com,,80,http://collector.eu.newrelic.com:80,http,cloudflare,application/json,GET,185.221.85.4,/,-138391155,185.221.85.4,Cloudflare,1,False,,"New Relic, Inc.",True,,https://collector.eu.newrelic.com/
collector.newrelic.com,,400,2,,collector.newrelic.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-12T00:00:00Z,2024-01-12T23:59:59Z,"CN=*.newrelic.com, O=New Relic\, Inc., L=San Francisco, ST=California, C=US",*.newrelic.com,newrelic.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ed71d227155f659971e84e5b26104251,b476109ef0cb51262194aa09a02d5f6ce0c1d22b1bc3544dc542c76f855e03d4,ctls,collector.newrelic.com,,443,https://collector.newrelic.com:443,https,cloudflare,text/plain,GET,162.247.241.2,/,-1206076886,162.247.241.2,Cloudflare,1,False,,"New Relic, Inc.",True,,
