input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,webserver,final_url
datumprikker.belastingdienst.nl,OnTime - Pollarity,200,2503,datumprikker.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-30T14:23:51Z,2024-03-30T14:18:00Z,"CN=datumprikker.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",datumprikker.belastingdienst.nl,Belastingdienst,datumprikker.apps.overheid-i.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,822ba19815a5af8fd64e1da16e0d5d95,1731367cac0f9e51dc92b71c6b079f721a54a9c5c4254f1da83850aa1f458011,,ctls,datumprikker.belastingdienst.nl,,443,https://datumprikker.belastingdienst.nl:443,https,text/html,GET,85.159.98.179,/,1957517245,85.159.98.179,,72,False,,,,
delta.belastingdienst.nl,Belastingdienst Nederland,200,26101,www.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-22T11:14:25Z,2024-05-22T11:09:00Z,"CN=www.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",www.belastingdienst.nl,Belastingdienst,belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,1030b599fe8fdd986ffbba53c975cd4f,19ca91c4739f924189f7c45db538257fc811108521c455df0fe919d32f835e26,,ctls,www.belastingdienst.nl,,443,https://delta.belastingdienst.nl:443,https,text/html,GET,85.159.98.242,/,-569487998,2a04:9a01:1002::242,HSTS,717,False,,https://cdn.optimizely.com,,https://www.belastingdienst.nl/wps/wcm/connect/nl/home/home
dva.belastingdienst.nl,iBabs - Meet in green,200,3242,dva.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-09-19T10:47:18Z,2023-09-19T10:42:00Z,"CN=dva.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",dva.belastingdienst.nl,Belastingdienst,dva.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,e92e9dcb32a5fc4fb42c7366b28c9963,091388821233e804bbe6430d9f07c8e989871815ac2064adfeb024053ec06dbd,,ctls,dva.belastingdienst.nl,,443,https://dva.belastingdienst.nl:443,https,text/html,GET,85.159.98.180,/,2138093579,85.159.98.180,HSTS,102,False,,,,
e-commerce.belastingdienst.nl,Inloggen op Mijn Belastingdienst,200,17136,www.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-22T11:14:25Z,2024-05-22T11:09:00Z,"CN=www.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",www.belastingdienst.nl,Belastingdienst,belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,1030b599fe8fdd986ffbba53c975cd4f,19ca91c4739f924189f7c45db538257fc811108521c455df0fe919d32f835e26,,ctls,www.belastingdienst.nl,,443,https://e-commerce.belastingdienst.nl:443,https,text/html,GET,85.159.98.1,/,-780928015,2a04:9a01:1002::1:1,HSTS,484,False,,*.abtasty.com,,https://www.belastingdienst.nl/wps/wcm/connect/nl/home/content/inloggen-mijn-belastingdienst
enterpriseenrollment.belastingdienst.nl,Microsoft Intune admin center,200,39551,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-20T00:03:25Z,2024-04-14T00:03:25Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,Microsoft Corporation,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,fbe882ad9daeb5df0f0d14db966ea3c8,d5bab55b00d08eec6b9981deee10c77d19ccdd091bfd836e38b6bc95a281a90d,,ctls,intune.microsoft.com,azure,80,http://enterpriseenrollment.belastingdienst.nl:80,http,text/html,GET,52.236.189.96,/,1631801191,52.236.189.96,HSTS,4,False,True,,,https://intune.microsoft.com/
enterpriseregistration.belastingdienst.nl,Service,404,1565,enterpriseregistration.belastingdienst.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-05-17T10:06:53Z,2024-05-11T10:06:53Z,"CN=*.enterpriseregistration.windows.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.enterpriseregistration.windows.net,Microsoft Corporation,enterpriseregistration.windows.net,"CN=Microsoft Azure TLS Issuing CA 01, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 01,Microsoft Corporation,9c63f59aa24f3f22874d7ea3998b82bd,894d8730e2e4c7c06b0d207438c8957cbd4aaae151221772f9a4db78085bdfc6,True,ctls,enterpriseregistration.belastingdienst.nl,azure,443,https://enterpriseregistration.belastingdienst.nl:443,https,text/html,GET,20.190.137.40,/,-2070773535,20.190.137.40,HSTS,14,False,True,,,
fibb1.belastingdienst.nl,Er is een fout opgetreden,403,3962,fibb1.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-02-01T13:12:58Z,2024-02-01T13:07:00Z,"CN=fibb1.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",fibb1.belastingdienst.nl,Belastingdienst,fibb1.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,e7ddc4b1055449a42d91a9c65b10a126,4dc051ddb1f76e9dc649bf13b5882bb3d31f3abddbbd5780ab7f232e3a282062,,ctls,fibb1.belastingdienst.nl,,443,https://fibb1.belastingdienst.nl:443,https,text/html,GET,85.159.98.183,/,-569487998,85.159.98.183,HSTS,66,False,,IE=11.0000,,
fibe1.belastingdienst.nl,Er is een fout opgetreden,403,3894,fibe1.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-17T08:47:29Z,2024-04-17T08:42:00Z,"CN=fibe1.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",fibe1.belastingdienst.nl,Belastingdienst,fibe1.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,a35e75d53c09ab342635ae9c26e79e30,4e575ed1d384f8da3a68b0dfa6187a5e21ff3fdc5e19aab64562bcbe9f41b474,,ctls,fibe1.belastingdienst.nl,,443,https://fibe1.belastingdienst.nl:443,https,text/html,GET,85.159.98.220,/,-569487998,85.159.98.220,HSTS,66,False,,IE=11.0000,,
fibz1.belastingdienst.nl,Er is een fout opgetreden,403,3962,fibz1.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-02-01T13:12:38Z,2024-02-01T13:07:00Z,"CN=fibz1.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",fibz1.belastingdienst.nl,Belastingdienst,fibz1.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,c2d15c8cc7419383a183d952318e404b,9db71ab974a06abc78b4de1f2b0db4a2070b2f5c312a8f48ec0eca1e5a5d6a9e,,ctls,fibz1.belastingdienst.nl,,443,https://fibz1.belastingdienst.nl:443,https,text/html,GET,85.159.98.185,/,-569487998,85.159.98.185,HSTS,66,False,,IE=11.0000,,
filetransfer.belastingdienst.nl,Mobile not supported - Belastingdienst filetransfer,200,4753,filetransfer.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-11-15T10:42:23Z,2023-11-15T10:37:00Z,"CN=filetransfer.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",filetransfer.belastingdienst.nl,Belastingdienst,filetransfer.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,062c412c0197a699f875883db4e1ea28,349796a79977e94bff85213e4840358f520f8a88b4619e5c0c8cc9a3805fd6d1,,ctls,filetransfer.belastingdienst.nl,,443,https://filetransfer.belastingdienst.nl:443,https,text/html,GET,85.159.98.75,/,-1528185065,85.159.98.75,Nginx,115,False,,https://d3gcli72yxqn2z.cloudfront.net,nginx,https://filetransfer.belastingdienst.nl/info/pages/mobilenotsupported
filetransfer.ont.belastingdienst.nl,Mobile not supported - Belastingdienst filetransfer,200,4753,filetransfer.ont.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-22T12:08:07Z,2024-05-22T12:03:00Z,"CN=filetransfer.ont.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",filetransfer.ont.belastingdienst.nl,Belastingdienst,filetransfer.ont.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,b858ff13dfff5bee87db8894f0df98d7,b5cf230f58695b28e5e8dded202622304db874f6b1ba8a240b611ffd38232d1f,,ctls,filetransfer.ont.belastingdienst.nl,,443,https://filetransfer.ont.belastingdienst.nl:443,https,text/html,GET,85.159.98.210,/,-1528185065,85.159.98.210,Nginx,115,False,,https://ajax.googleapis.com,nginx,https://filetransfer.ont.belastingdienst.nl/info/pages/mobilenotsupported
fmis.acc.belastingdienst.nl,Toegang geblokkeerd,400,30151,fmis.acc.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-07-08T10:47:28Z,2023-07-08T10:57:00Z,"CN=fmis.acc.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",fmis.acc.belastingdienst.nl,Belastingdienst,fmis.acc.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,f1da089ce6e89840d5f70382ce830e43,b5f2048d2d0404b46d4adeb496b8b996c76d7630becd13d0a1dd5877e6dca59d,,ctls,fmis.acc.belastingdienst.nl,,80,http://fmis.acc.belastingdienst.nl:80,http,text/html,GET,85.159.99.217,/,-69327838,85.159.99.217,,478,False,,,,https://fmis.acc.belastingdienst.nl/
fsvportaal.belastingdienst.nl,FSV - Home,200,28187,fsvportaal.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-11-10T12:53:48Z,2023-11-10T12:48:00Z,"CN=fsvportaal.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",fsvportaal.belastingdienst.nl,Belastingdienst,fsvportaal.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,7dd83b15954cd9bd46eace72275327f7,b8b5423560b51492f7518e5755f46945a0e26b022533cc7fdb2f5eff2bc87c16,,ctls,fsvportaal.belastingdienst.nl,,443,https://fsvportaal.belastingdienst.nl:443,https,text/html,GET,85.159.98.114,/,-53592333,2a04:9a01:1002::114,YouTube,736,False,,https://cdn-eu.readspeaker.com/,,
geen.belastingdienst.nl,Inloggen op Mijn Belastingdienst,200,17136,www.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-22T11:14:25Z,2024-05-22T11:09:00Z,"CN=www.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",www.belastingdienst.nl,Belastingdienst,belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,1030b599fe8fdd986ffbba53c975cd4f,19ca91c4739f924189f7c45db538257fc811108521c455df0fe919d32f835e26,,ctls,www.belastingdienst.nl,,443,https://geen.belastingdienst.nl:443,https,text/html,GET,85.159.98.1,/,-780928015,2a04:9a01:1002::1:1,HSTS,484,False,,https://belastingdienst.nl,,https://www.belastingdienst.nl/wps/wcm/connect/nl/home/content/inloggen-mijn-belastingdienst
gegevensportaal.belastingdienst.nl,Login | Belastingdienst Gegevensportalen,200,18621,gegevensportaal.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-28T11:02:15Z,2024-03-28T10:57:00Z,"CN=gegevensportaal.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",gegevensportaal.belastingdienst.nl,Belastingdienst,gegevensportaal.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,c899154fc4fb4d9397ed0f49e258109d,8be87f95c77021356acf1f0287eb5dc1def7ccf28d2ae4458a6d0971e0db6d16,,ctls,gegevensportaal.belastingdienst.nl,,443,https://gegevensportaal.belastingdienst.nl:443,https,text/html,GET,85.159.98.204,/,-58514316,2a04:9a01:1002::204,Python,614,False,,https://gegevensportaal.net,nginx,https://gegevensportaal.belastingdienst.nl/accounts/login/?next=/
gtmb.belastingdienst.nl,Online diensten en gegevens niet beschikbaar,200,603,gtmb.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-11-03T11:59:57Z,2023-11-03T11:54:00Z,"CN=gtmb.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",gtmb.belastingdienst.nl,Belastingdienst,gtmb.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,73e8dbd3f2001e6847482cd948fa825a,a361922a6d5e61dc287268b6e373d934aeb6765fb79e5f100ef2bde51788a38d,,ctls,gtmb.belastingdienst.nl,,443,https://gtmb.belastingdienst.nl:443,https,text/html,GET,85.159.98.87,/,885612182,85.159.98.87,,13,False,,,,
gtmz.belastingdienst.nl,Online diensten en gegevens niet beschikbaar,200,603,gtmz.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-11-03T12:07:19Z,2023-11-03T12:02:00Z,"CN=gtmz.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",gtmz.belastingdienst.nl,Belastingdienst,gtmz.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,d3901478f9144d404be9a9b6d2d26cec,7cc00bb6f5661b5b2c816025bb55ce0a8f6e390dcd954a401281985a46036bfb,,ctls,gtmz.belastingdienst.nl,,443,https://gtmz.belastingdienst.nl:443,https,text/html,GET,85.159.98.88,/,-1951515671,85.159.98.88,,13,False,,,,
huisstijl.belastingdienst.nl,Home - Huisstijl,200,69875,huisstijl.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-22T12:01:38Z,2024-05-22T11:56:00Z,"CN=huisstijl.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",huisstijl.belastingdienst.nl,Belastingdienst,huisstijl.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,8dc508a4f2d0c37223da1c301972e2ff,e2f88c29a4e4acca794d124a331e93c8f3686948fc84364759b6d9a1829ddfc8,,ctls,huisstijl.belastingdienst.nl,,443,https://huisstijl.belastingdienst.nl:443,https,text/html,GET,85.159.98.85,/,-569487998,2a04:9a01:1002::85,Yoast SEO:20.7,348,False,,,,
kennisnetwerk.belastingdienst.nl,Request Rejected,200,246,kennisnetwerk.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-01-06T08:31:13Z,2024-01-06T08:26:00Z,"CN=kennisnetwerk.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",kennisnetwerk.belastingdienst.nl,Belastingdienst,kennisnetwerk.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,d053e3f523e03aee9e4646d69d3ca930,2698f6cc0a51098aa66bfa932f389be54422c214a0792ea3993e18e093fd9504,,ctls,kennisnetwerk.belastingdienst.nl,,443,https://kennisnetwerk.belastingdienst.nl:443,https,text/html,GET,85.159.98.21,/,1945841514,85.159.98.21,,1,False,,,,
le-webservices-beta.belastingdienst.nl,Toegang geblokkeerd,200,30151,le-webservices-beta.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-02-28T13:23:12Z,2024-02-28T13:18:00Z,"CN=le-webservices-beta.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",le-webservices-beta.belastingdienst.nl,Belastingdienst,le-webservices-beta.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,8031b9f3cc0189b989de611f7170cfe1,dcbba9717c5fef5d9323d791dfb1754b40256276691f2253320a60ee63ba4136,,ctls,le-webservices-beta.belastingdienst.nl,,443,https://le-webservices-beta.belastingdienst.nl:443,https,text/html,GET,85.159.98.58,/,222875405,85.159.98.58,,477,False,,,,
