new,host,soa,status_code,a,txt,ns,aaaa,cname,cdn,cdn-name,has_internal_ips,internal_ips,caa,mx
,btob-production-aws.zegocover.com,"ns-324.awsdns-40.com, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1406.awsdns-47.org, ns-1627.awsdns-11.co.uk, ns-324.awsdns-40.com, ns-960.awsdns-56.net",,,,,,,,
,btob-sandbox-aws.zegocover.com,"ns-1082.awsdns-07.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1082.awsdns-07.org, ns-1910.awsdns-46.co.uk, ns-342.awsdns-42.com, ns-531.awsdns-02.net",,,,,,,,
,buyapowa.zego.com,"ns-667.awsdns-19.net, awsdns-hostmaster.amazon.com",NOERROR,"54.192.111.79, 54.192.111.121, 54.192.111.54, 54.192.111.116",,"ns-1475.awsdns-56.org, ns-1909.awsdns-46.co.uk, ns-320.awsdns-40.com, ns-667.awsdns-19.net","2600:9000:2181:a800:19:b183:8000:93a1, 2600:9000:2181:8400:19:b183:8000:93a1, 2600:9000:2181:ea00:19:b183:8000:93a1, 2600:9000:2181:ac00:19:b183:8000:93a1, 2600:9000:2181:de00:19:b183:8000:93a1, 2600:9000:2181:3000:19:b183:8000:93a1, 2600:9000:2181:1400:19:b183:8000:93a1, 2600:9000:2181:fe00:19:b183:8000:93a1",d1iq1x6bfqgq2o.cloudfront.net,True,cloudfront,,,,
,cc-6-1712-2773.zegocover.com,,NOERROR,,,,,,,,,,,
,checkout.production-aws.zegocover.com,"ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"54.217.229.142, 34.242.23.191, 54.155.101.116","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/checkout/checkout",,,,,,,,,
,checkout.staging-aws.zegocover.com,"ns-1999.awsdns-57.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"172.16.58.36, 172.16.54.166, 172.16.51.88","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/checkout/checkout-web-gateway",,,,,,True,"172.16.58.36, 172.16.54.166, 172.16.51.88",,
,corporate-aws.zegocover.com,"ns-85.awsdns-10.com, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1597.awsdns-07.co.uk, ns-683.awsdns-21.net, ns-85.awsdns-10.com, ns-1384.awsdns-45.org",,,,,,,,
,datascience-production-aws.zegocover.com,"ns-534.awsdns-02.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
,datascience-sandbox-aws.zegocover.com,"ns-187.awsdns-23.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
,developer-portal.staging-aws.zegocover.com,"ns-1999.awsdns-57.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"172.16.54.166, 172.16.51.88, 172.16.58.36","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/developer-portal/developer-portal",,,,,,True,"172.16.54.166, 172.16.51.88, 172.16.58.36",,
,developer.zego.com,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,"54.192.111.9, 54.192.111.42, 54.192.111.3, 54.192.111.56",,"ns-1390.awsdns-45.org, ns-1842.awsdns-38.co.uk, ns-53.awsdns-06.com, ns-952.awsdns-55.net","2600:9000:2181:2a00:6:e5ba:8340:93a1, 2600:9000:2181:4800:6:e5ba:8340:93a1, 2600:9000:2181:5000:6:e5ba:8340:93a1, 2600:9000:2181:ae00:6:e5ba:8340:93a1, 2600:9000:2181:e800:6:e5ba:8340:93a1, 2600:9000:2181:1600:6:e5ba:8340:93a1, 2600:9000:2181:9000:6:e5ba:8340:93a1, 2600:9000:2181:1200:6:e5ba:8340:93a1",d2c4stbxkrr4el.cloudfront.net,True,cloudfront,,,,
,developer.zegocover.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.15.10, 104.18.14.10",,,"2606:4700::6812:f0a, 2606:4700::6812:e0a",,True,cloudflare,,,,
,devfleet.zego.com,"ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com, dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,"185.199.108.153, 185.199.109.153, 185.199.110.153, 185.199.111.153",,,"2606:50c0:8002::153, 2606:50c0:8003::153, 2606:50c0:8000::153, 2606:50c0:8001::153",zegocover.github.io,,,,,"digicert.com, letsencrypt.org",
,email.mail.zego.com,"ns-508.awsdns-63.com, awsdns-hostmaster.amazon.com",NOERROR,34.111.99.212,v=spf1 include:_spf.eu.mailgun.org ~all,"ns-619.awsdns-13.net, ns-2026.awsdns-61.co.uk, ns-1452.awsdns-53.org, ns-508.awsdns-63.com",,eu.mailgun.org,True,google,,,"digicert.com, letsencrypt.org, ;","mxb.eu.mailgun.org, mxa.eu.mailgun.org"
,enterpriseenrollment.zego.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,"2606:4700:3108::ac42:2b5a, 2606:4700:3108::ac42:28a6",,True,cloudflare,,,,
,esplive-player-iptv.zegocover.com,,NOERROR,,,,,,,,,,,
,fleet.integrations.zego.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"188.114.99.229, 188.114.98.229",,,"2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5",,True,cloudflare,,,,
,fleet.staging.zego.com,"ns-1114.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"52.84.174.60, 52.84.174.66, 52.84.174.73, 52.84.174.59",,"ns-1114.awsdns-11.org, ns-1845.awsdns-38.co.uk, ns-347.awsdns-43.com, ns-937.awsdns-53.net",,d2no8y47y96pm9.cloudfront.net,True,cloudfront,,,,
,fleet.zego-qa-b2b-1204-move-files.qa-aws.zegocover.com,,NOERROR,,,,,,,,,,,
,fleet.zego-qa-b2b-681-which-policy-is-righ.qa-aws.zegocover.com,,NOERROR,,,,,,,,,,,
,fleet.zego-qa-b2b-844-fleet-tariff-rates.qa-aws.zegocover.com,,NOERROR,,,,,,,,,,,
,fleet.zego-qa-bp50-stripe-payment-details.qa-aws.zegocover.com,,NOERROR,,,,,,,,,,,
,fleet.zego-qa-co-2212-existing-courier-van.qa-aws.zegocover.com,,NOERROR,,,,,,,,,,,
,fleet.zego-qa-co1849-co1856-co1857-co1860.qa-aws.zegocover.com,,NOERROR,,,,,,,,,,,
,fleet.zego-qa-fe-1024-update-invoice-pdf-w.qa-aws.zegocover.com,,NOERROR,,,,,,,,,,,
,fleet.zego-qa-fe-774-add-payment-models-fo.qa-aws.zegocover.com,,NOERROR,,,,,,,,,,,
,fleet.zego-qa-incident-15-finance-fixes.qa-aws.zegocover.com,,NOERROR,,,,,,,,,,,
,fleet.zego-qa-intnl-131-enable-green-cards.qa-aws.zegocover.com,,NOERROR,,,,,,,,,,,
,fleet.zego.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"188.114.98.229, 188.114.99.229",,,"2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5",,True,cloudflare,,,,
,fleethub.zego.com,"ns-1428.awsdns-50.org, awsdns-hostmaster.amazon.com",NOERROR,"23.21.48.221, 3.218.35.185, 34.225.25.191",,,,zego.helpscoutdocs.com,,,,,letsencrypt.org,
,flower.btob-development-aws.zegocover.com,"ns-1930.awsdns-49.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"10.10.106.136, 10.10.147.241, 10.10.184.168","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/b2bego-celery/b2bego-celery-flower",,,,,,True,"10.10.106.136, 10.10.147.241, 10.10.184.168",,
,flower.btob-preproduction-aws.zegocover.com,"ns-1296.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,,"heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/b2bego-celery/b2bego-celery-flower","ns-1296.awsdns-34.org, ns-1627.awsdns-11.co.uk, ns-74.awsdns-09.com, ns-812.awsdns-37.net",,,,,,,,
,flower.integrations-aws.zegocover.com,"ns-1539.awsdns-00.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"172.30.16.236, 172.30.21.135, 172.30.14.210","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/zego-backend-celery/zego-backend-celery-flower",,,,,,True,"172.30.16.236, 172.30.21.135, 172.30.14.210",,
,flower.production-aws.zegocover.com,"ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"172.16.16.248, 172.16.22.227, 172.16.24.118","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/zego-backend-celery/zego-backend-celery-flower",,,,,,True,"172.16.16.248, 172.16.22.227, 172.16.24.118",,
,flower.staging-aws.zegocover.com,"ns-1999.awsdns-57.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,"heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/zego-backend-celery/zego-backend-celery-flower","ns-1187.awsdns-20.org, ns-1999.awsdns-57.co.uk, ns-497.awsdns-62.com, ns-900.awsdns-48.net",,,,,,,,
,grafana.staging-aws.zegocover.com,"ns-1999.awsdns-57.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"172.16.54.166, 172.16.51.88, 172.16.58.36","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/grafana/grafana",,,,,,True,"172.16.54.166, 172.16.51.88, 172.16.58.36",,
,helpdesk.zego.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.66.40.166, 172.66.43.90",,,"2606:4700:3108::ac42:2b5a, 2606:4700:3108::ac42:28a6",,True,cloudflare,,,,
,httpbin.btob-development-aws.zegocover.com,"ns-1930.awsdns-49.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"10.10.147.241, 10.10.106.136, 10.10.184.168","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/httpbin/httpbin",,,,,,True,"10.10.147.241, 10.10.106.136, 10.10.184.168",,
,httpbin.syseng-sandbox-aws.zegocover.com,"ns-1455.awsdns-53.org, awsdns-hostmaster.amazon.com",NOERROR,"172.16.208.191, 172.16.212.213, 172.16.219.203","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/httpbin/httpbin",,,,,,True,"172.16.208.191, 172.16.212.213, 172.16.219.203",,
,integrations-aws.zegocover.com,"ns-1539.awsdns-00.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-647.awsdns-16.net, ns-1342.awsdns-39.org, ns-1539.awsdns-00.co.uk, ns-105.awsdns-13.com",,,,,,,,
,integrations.zegocover.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.14.10, 104.18.15.10",,,"2606:4700::6812:e0a, 2606:4700::6812:f0a",,True,cloudflare,,,,
,journey.staging-aws.zegocover.com,"ns-1999.awsdns-57.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"172.16.58.36, 172.16.51.88, 172.16.54.166","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/journey/journey",,,,,,True,"172.16.58.36, 172.16.51.88, 172.16.54.166",,
,kubecost.syseng-sandbox-aws.zegocover.com,"ns-1455.awsdns-53.org, awsdns-hostmaster.amazon.com",NOERROR,"172.16.212.213, 172.16.208.191, 172.16.219.203","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/kubecost/kubecost",,,,,,True,"172.16.212.213, 172.16.208.191, 172.16.219.203",,
,kubeflow.datascience-production-aws.zegocover.com,"ns-534.awsdns-02.net, awsdns-hostmaster.amazon.com",NOERROR,"172.30.87.170, 172.30.91.112, 172.30.81.152","heritage=external-dns,external-dns/owner=datascience-prod-kubeflow,external-dns/resource=gateway/kubeflow/kubeflow-gateway",,,,,,True,"172.30.87.170, 172.30.91.112, 172.30.81.152",,
,kubeflow.datascience-sandbox-aws.zegocover.com,"ns-187.awsdns-23.com, awsdns-hostmaster.amazon.com",NOERROR,,"heritage=external-dns,external-dns/owner=datascience-sandbox-kubeflow,external-dns/resource=gateway/kubeflow/kubeflow-gateway",,,,,,,,,
,legacy-fleet.staging.zego.com,"ns-1114.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"13.224.222.114, 13.224.222.92, 13.224.222.15, 13.224.222.106",,"ns-1114.awsdns-11.org, ns-1845.awsdns-38.co.uk, ns-347.awsdns-43.com, ns-937.awsdns-53.net","2600:9000:21c7:1800:1b:8a6a:c40:93a1, 2600:9000:21c7:7a00:1b:8a6a:c40:93a1, 2600:9000:21c7:b600:1b:8a6a:c40:93a1, 2600:9000:21c7:9400:1b:8a6a:c40:93a1, 2600:9000:21c7:5200:1b:8a6a:c40:93a1, 2600:9000:21c7:b200:1b:8a6a:c40:93a1, 2600:9000:21c7:5800:1b:8a6a:c40:93a1, 2600:9000:21c7:c200:1b:8a6a:c40:93a1",d2no8y47y96pm9.cloudfront.net,True,cloudfront,,,,
,legacy-fleet.zego.com,"ns-1143.awsdns-14.org, awsdns-hostmaster.amazon.com",NOERROR,"18.173.233.103, 18.173.233.47, 18.173.233.115, 18.173.233.119",,"ns-318.awsdns-39.com, ns-548.awsdns-04.net, ns-1143.awsdns-14.org, ns-1964.awsdns-53.co.uk","2600:9000:2440:9600:b:f62e:9300:93a1, 2600:9000:2440:8000:b:f62e:9300:93a1, 2600:9000:2440:3e00:b:f62e:9300:93a1, 2600:9000:2440:b600:b:f62e:9300:93a1, 2600:9000:2440:9e00:b:f62e:9300:93a1, 2600:9000:2440:6000:b:f62e:9300:93a1, 2600:9000:2440:1a00:b:f62e:9300:93a1, 2600:9000:2440:a000:b:f62e:9300:93a1",dvxgdjwv3sf2k.cloudfront.net,True,cloudfront,,,,
,maintenance.zegocover.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.14.10, 104.18.15.10",,,"2606:4700::6812:f0a, 2606:4700::6812:e0a",,True,cloudflare,,,,
,mercury.production-aws.zegocover.com,"ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"52.222.139.106, 52.222.139.105, 52.222.139.66, 52.222.139.128",,,,,True,cloudfront,,,,
,mib.zego.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"188.114.99.229, 188.114.98.229",,,"2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5",,True,cloudflare,,,,
,mobileapi.zego.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.66.40.166, 172.66.43.90",,,"2606:4700:3108::ac42:28a6, 2606:4700:3108::ac42:2b5a",,True,cloudflare,,,,
,onboarding-web-bff.production-aws.zegocover.com,"ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"18.203.21.146, 63.32.208.101, 54.171.84.172","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/onboarding-web-bff/onboarding-web-bff",,,,,,,,,
,onboarding-web-bff.staging-aws.zegocover.com,"ns-1999.awsdns-57.co.uk, awsdns-hostmaster.amazon.com",NOERROR,52.215.202.136,"heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/onboarding-web-bff/onboarding-web-bff",,,,,,,,,
,onboarding.integrations.zego.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.66.40.166, 172.66.43.90",,,"2606:4700:3108::ac42:28a6, 2606:4700:3108::ac42:2b5a",,True,cloudflare,,,,
,onboarding.staging.zego.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,True,cloudflare,,,,
,onboarding.zego.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"188.114.98.229, 188.114.99.229",,,"2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5",,True,cloudflare,,,,
,options.zego.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.66.43.90, 172.66.40.166",,,"2606:4700:3108::ac42:2b5a, 2606:4700:3108::ac42:28a6",,True,cloudflare,,,,
,payouts.production-aws.zegocover.com,"ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"18.203.21.146, 54.171.84.172, 63.32.208.101","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/payouts/payouts-web",,,,,,,,,
,payouts.staging-aws.zegocover.com,"ns-1999.awsdns-57.co.uk, awsdns-hostmaster.amazon.com",NOERROR,52.215.202.136,,,,,,,,,,
,production-aws.zegocover.com,"ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
,production.zego.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.66.40.166, 172.66.43.90",,,"2606:4700:3108::ac42:2b5a, 2606:4700:3108::ac42:28a6",,True,cloudflare,,,,
,production.zegocover.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.14.10, 104.18.15.10",,,"2606:4700::6812:e0a, 2606:4700::6812:f0a",,True,cloudflare,,,,
,qa-aws.zegocover.com,"ns-1462.awsdns-54.org, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1546.awsdns-01.co.uk, ns-213.awsdns-26.com, ns-966.awsdns-56.net, ns-1462.awsdns-54.org",,,,,,,,
,quotes.staging-aws.zegocover.com,"ns-1999.awsdns-57.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"172.16.51.88, 172.16.54.166, 172.16.58.36","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/quotes/quotes",,,,,,True,"172.16.51.88, 172.16.54.166, 172.16.58.36",,
,renewal.integrations-aws.zegocover.com,"ns-1539.awsdns-00.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"172.30.21.135, 172.30.14.210, 172.30.16.236","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/renewal/renewal",,,,,,True,"172.30.21.135, 172.30.14.210, 172.30.16.236",,
,renewal.production-aws.zegocover.com,"ns-1700.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"172.16.16.248, 172.16.24.118, 172.16.22.227","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/renewal/renewal",,,,,,True,"172.16.16.248, 172.16.24.118, 172.16.22.227",,
,renewal.staging-aws.zegocover.com,"ns-1999.awsdns-57.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"172.16.51.88, 172.16.58.36, 172.16.54.166","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/renewal/renewal","ns-1187.awsdns-20.org, ns-1999.awsdns-57.co.uk, ns-497.awsdns-62.com, ns-900.awsdns-48.net",,,,,True,"172.16.51.88, 172.16.58.36, 172.16.54.166",,
,salesforce.zego.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,True,cloudflare,,,,
,sandbox.zego.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.66.43.90, 172.66.40.166",,,"2606:4700:3108::ac42:2b5a, 2606:4700:3108::ac42:28a6",,True,cloudflare,,,,
,shared-services-aws.zegocover.com,"ns-734.awsdns-27.net, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1182.awsdns-19.org, ns-1955.awsdns-52.co.uk, ns-734.awsdns-27.net, ns-84.awsdns-10.com",,,,,,,,
,sonarqube.shared-services-aws.zegocover.com,"ns-734.awsdns-27.net, awsdns-hostmaster.amazon.com",NOERROR,"172.16.145.30, 172.16.154.48, 172.16.148.71","heritage=external-dns,external-dns/owner=default,external-dns/resource=gateway/sonarqube/sonarqube",,,,,,True,"172.16.145.30, 172.16.154.48, 172.16.148.71",,
,staging.zegocover.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.15.10, 104.18.14.10",,,"2606:4700::6812:e0a, 2606:4700::6812:f0a",,True,cloudflare,,,,
,static.zego.com,"ns-435.awsdns-54.com, awsdns-hostmaster.amazon.com",NOERROR,"99.86.4.95, 99.86.4.44, 99.86.4.128, 99.86.4.129",,"ns-1472.awsdns-56.org, ns-1746.awsdns-26.co.uk, ns-435.awsdns-54.com, ns-902.awsdns-48.net",,,True,cloudfront,,,,
,support.zego.com,"aria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.66.43.90, 172.66.40.166",00d4j000000cp0tuac,,"2606:4700:3108::ac42:28a6, 2606:4700:3108::ac42:2b5a",,True,cloudflare,,,,
