input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,cdn,tls_subject_org_,tls_wildcard_certificate,webserver,tech_,csp_domains_,final_url,tls_mismatched
buyapowa.zego.com,,404,,buyapowa.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-09T00:00:00Z,2024-04-06T23:59:59Z,CN=buyapowa.zego.com,buyapowa.zego.com,buyapowa.zego.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,fe07e578fce0b0b01fcac0de32d07774,879d5a1aba56ecb921f0df9c19edf3444e974d58c300b96633b5a096c08600a0,ctls,buyapowa.zego.com,cloudfront,443,https://buyapowa.zego.com:443,https,text/html,GET,13.32.121.40,/,-1270699277,2600:9000:2240:f400:19:b183:8000:93a1,1,False,True,,,Cowboy,HSTS,https://cdn.rollbar.com,,
checkout.production-aws.zegocover.com,checkout - ReDoc,200,768,checkout.production-aws.zegocover.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-11-27T23:59:59Z,CN=production-aws.zegocover.com,production-aws.zegocover.com,*.production-aws.zegocover.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,209749231d5f6729d1ac7ad2fb980939,58bc60cf41752ad3e09598acbcf43a43f8f3872e8e63860d55467725aa344492,ctls,checkout.production-aws.zegocover.com,,443,https://checkout.production-aws.zegocover.com:443,https,text/html,GET,54.217.229.142,/,2125685474,54.155.101.116,28,False,,,True,zego,React,,https://checkout.production-aws.zegocover.com/docs,
developer.zego.com,Zego API Specification,200,73764,developer.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-15T00:00:00Z,2024-03-15T23:59:59Z,CN=developer.zego.com,developer.zego.com,developer.zego.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d6156b139bb2819f2914a7ec31581e3c,76f9929702dee9cbf4f0afb1e686c654b5a2658c2bd74aa4432af1a415c52719,ctls,developer.zego.com,cloudfront,443,https://developer.zego.com:443,https,text/html,GET,13.32.121.113,/,1950705770,2600:9000:236e:4e00:6:e5ba:8340:93a1,1982,False,True,,,AmazonS3,Amazon Web Services,,,
devfleet.zego.com,Available endpoints | Zego Fleet API Documentation,200,2598,devfleet.zego.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-27T02:12:38Z,2023-08-25T02:12:37Z,CN=devfleet.zego.com,devfleet.zego.com,devfleet.zego.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c776e356533331645880261ae18a920e,f2005d5f48174141c22be4c4e275a114a3b2bf2cec150ca83bc0a5d1272018f1,ctls,devfleet.zego.com,,443,https://devfleet.zego.com:443,https,text/html,GET,185.199.110.153,/,1181440715,2606:50c0:8003::153,71,False,,,,GitHub.com,Varnish,,,
email.mail.zego.com,,404,19,email.mail.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-09T09:37:05Z,2023-09-07T09:37:04Z,CN=email.mail.zego.com,email.mail.zego.com,email.mail.zego.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2c8470969a45e9f1f6acbd9aa29d4e8f,c7aac5a49f2477b776e3b3412b0ffc012a084990402ad45e41b46cd4448a8c23,ctls,email.mail.zego.com,google,443,https://email.mail.zego.com:443,https,text/plain,GET,34.111.99.212,/,-138391155,34.111.99.212,2,False,True,,,,,,,
enterpriseenrollment.zego.com,Microsoft Intune admin center,200,40864,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T00:03:25Z,2024-04-14T00:03:25Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,fbe882ad9daeb5df0f0d14db966ea3c8,d5bab55b00d08eec6b9981deee10c77d19ccdd091bfd836e38b6bc95a281a90d,ctls,intune.microsoft.com,cloudflare,443,https://enterpriseenrollment.zego.com:443,https,text/html,GET,172.66.43.90,/,1631801191,2606:4700:3108::ac42:28a6,4,False,True,Microsoft Corporation,,,HSTS,,https://intune.microsoft.com/,
fleet.integrations.zego.com,Origin DNS error | fleet.integrations.zego.com | Cloudflare,530,6234,fleet.integrations.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=zego.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zego.com,zego.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6fb5c75a59a828da23972375ea7fef62,e2fa32508a31223cb0fe4221e3c7534a2ff7f344e66d069e60133e0d22e0ee83,ctls,fleet.integrations.zego.com,cloudflare,443,https://fleet.integrations.zego.com:443,https,text/html,GET,172.66.40.166,/,-1899940170,2606:4700:3108::ac42:2b5a,93,False,True,"Cloudflare, Inc.",True,cloudflare,Cloudflare,,,True
fleet.staging.zego.com,Fleet Portal,200,882,fleet.staging.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-17T00:00:00Z,2024-06-15T23:59:59Z,CN=fleet.staging.zego.com,fleet.staging.zego.com,legacy-fleet.staging.zego.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a2686615de6f06da1b745b964df01370,5e29056f17be8f10c0e3b656d5785e1a8682a4b2b5f41e1482d9facceb318a44,ctls,fleet.staging.zego.com,cloudfront,443,https://fleet.staging.zego.com:443,https,text/html,GET,18.66.112.116,/,1986390428,2600:9000:223f:a00:1b:8a6a:c40:93a1,28,False,True,,,AmazonS3,HSTS,https://www.bokhorstverzekeringen.nl,,
fleet.zego.com,Log in,200,44339,fleet.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=zego.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zego.com,zego.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6fb5c75a59a828da23972375ea7fef62,e2fa32508a31223cb0fe4221e3c7534a2ff7f344e66d069e60133e0d22e0ee83,ctls,fleet.zego.com,cloudflare,443,https://fleet.zego.com:443,https,text/html,GET,172.66.43.90,/,705178675,2606:4700:3108::ac42:2b5a,1,False,True,"Cloudflare, Inc.",True,cloudflare,webpack,,https://fleet.zego.com/login,
fleethub-fr.zego.com,Zego Knowledge Base FR,200,11207,fleethub-fr.zego.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-06T12:16:00Z,2023-09-04T12:15:59Z,CN=fleethub-fr.zego.com,fleethub-fr.zego.com,fleethub-fr.zego.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5b591285a4b1d6b6c8de584fc1383717,20b021f3552d2b83d89f152d8c35522e167873ecff62b999abf84227ad5f4290,ctls,fleethub-fr.zego.com,,443,https://fleethub-fr.zego.com:443,https,text/html,GET,23.21.48.221,/,-1530239662,3.218.35.185,269,False,,,,openresty,Scala,,,
fleethub-nl.zego.com,Zego Knowledge Base NL,200,11155,fleethub-nl.zego.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-06T18:08:22Z,2023-09-04T18:08:21Z,CN=fleethub-nl.zego.com,fleethub-nl.zego.com,fleethub-nl.zego.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e2f2bd2830979ae9a5cd7f21bf1a6a53,d235830c689f60a6448e5ad01834ec5be9ab26a572ef9f7efe6d5133045173bd,ctls,fleethub-nl.zego.com,,443,https://fleethub-nl.zego.com:443,https,text/html,GET,34.225.25.191,/,-1530239662,3.218.35.185,269,False,,,,openresty,Scala,,,
fleethub.zego.com,Zego Knowledge Base,200,11130,fleethub.zego.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-25T14:49:18Z,2023-08-23T14:49:17Z,CN=fleethub.zego.com,fleethub.zego.com,fleethub.zego.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c23edcdb5616b2d2e6a31ef9912f9b22,9c97a686834206a0996f0697c35ae79739ffc8b7cc56a3b76dd296fde45d703a,ctls,fleethub.zego.com,,443,https://fleethub.zego.com:443,https,text/html,GET,23.21.48.221,/,-1530239662,3.218.35.185,269,False,,,,openresty,Scala,,,
helpdesk.zego.com,Support : Zego Internal IT Helpdesk,200,53651,helpdesk.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=zego.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zego.com,zego.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6fb5c75a59a828da23972375ea7fef62,e2fa32508a31223cb0fe4221e3c7534a2ff7f344e66d069e60133e0d22e0ee83,ctls,helpdesk.zego.com,cloudflare,80,http://helpdesk.zego.com:80,http,text/html,GET,172.66.40.166,/,-1840324437,2606:4700:3108::ac42:28a6,538,False,True,"Cloudflare, Inc.",True,cloudflare,Ruby on Rails,,https://helpdesk.zego.com/support/home?logged_out=true,
https://www.bokhorstverzekeringen.nl,Bokhorst Verzekeringen | 2ekans & Kortetermijnverzekeringen.nl,200,367465,www.bokhorstverzekeringen.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-12T08:47:44Z,2023-08-10T08:47:43Z,CN=www.bokhorstverzekeringen.nl,www.bokhorstverzekeringen.nl,www.bokhorstverzekeringen.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8d566da29828b15c30d881d8913e0ee1,4a5ee2d0c5a21cf7c81a17c6e6a131a321f16d4be10d8437d42ae4155ca8bc6a,ctls,www.bokhorstverzekeringen.nl,,443,https://www.bokhorstverzekeringen.nl:443,https,text/html,GET,134.209.82.188,/,604734349,2a03:b0c0:2:d0::eb0:4001,2207,False,,,,Apache/2.4.41 (Ubuntu),Yoast SEO:20.9,,,
integrations.zegocover.com,,200,21900,integrations.zegocover.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T00:00:00Z,2024-04-16T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,zegocover.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6cd3724912891b08780087cedaa3a74c,197d62f39ef1e283bbafac8d621f81d8db57511a229238b473e5f60b7ac9af35,ctls,integrations.zegocover.com,cloudflare,443,https://integrations.zegocover.com:443,https,text/html,GET,104.18.15.10,/,1873522619,2606:4700::6812:e0a,1,False,True,"Cloudflare, Inc.",True,cloudflare,webpack,,,
legacy-fleet.staging.zego.com,Fleet Portal,200,882,legacy-fleet.staging.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-17T00:00:00Z,2024-06-15T23:59:59Z,CN=fleet.staging.zego.com,fleet.staging.zego.com,legacy-fleet.staging.zego.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a2686615de6f06da1b745b964df01370,5e29056f17be8f10c0e3b656d5785e1a8682a4b2b5f41e1482d9facceb318a44,ctls,legacy-fleet.staging.zego.com,cloudfront,443,https://legacy-fleet.staging.zego.com:443,https,text/html,GET,18.66.112.42,/,1986390428,2600:9000:223f:a800:1b:8a6a:c40:93a1,28,False,True,,,AmazonS3,HSTS,https://www.bokhorstverzekeringen.nl,,
legacy-fleet.zego.com,Fleet Portal,200,882,legacy-fleet.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-17T00:00:00Z,2024-06-15T23:59:59Z,CN=fleet.zego.com,fleet.zego.com,legacy-fleet.zego.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,620b6980a4fc03efd9bd72d15c726656,ac6a7b837a9c592aa50fd929205d4059716b33ee8f2462962ba58812dbed23d8,ctls,legacy-fleet.zego.com,cloudfront,443,https://legacy-fleet.zego.com:443,https,text/html,GET,52.222.214.9,/,1986390428,2600:9000:223d:e200:b:f62e:9300:93a1,28,False,True,,,AmazonS3,HSTS,https://www.bokhorstverzekeringen.nl,,
mercury.production-aws.zegocover.com,,403,23,mercury.production-aws.zegocover.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-02-08T23:59:59Z,CN=mercury.production-aws.zegocover.com,mercury.production-aws.zegocover.com,mercury.production-aws.zegocover.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,9b829e2b700a541ca2b93805c67b8618,2eb627f108c7b84a2382a56c7f2dedf88825b30e4bc8b3264b60cd8b6ca15821,ctls,mercury.production-aws.zegocover.com,cloudfront,443,https://mercury.production-aws.zegocover.com:443,https,application/json,GET,65.9.66.74,/,968070783,65.9.66.52,1,False,True,,,,Amazon Web Services,,,
mib.zego.com,,400,11,mib.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=zego.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zego.com,zego.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6fb5c75a59a828da23972375ea7fef62,e2fa32508a31223cb0fe4221e3c7534a2ff7f344e66d069e60133e0d22e0ee83,ctls,mib.zego.com,cloudflare,443,https://mib.zego.com:443,https,text/plain,GET,172.66.40.166,/,-1642578581,2606:4700:3108::ac42:2b5a,1,False,True,"Cloudflare, Inc.",True,cloudflare,HSTS,,,
mobileapi.zego.com,Homepage - UK,200,223748,mobileapi.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=zego.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zego.com,zego.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6fb5c75a59a828da23972375ea7fef62,e2fa32508a31223cb0fe4221e3c7534a2ff7f344e66d069e60133e0d22e0ee83,ctls,mobileapi.zego.com,cloudflare,443,https://mobileapi.zego.com:443,https,text/html,GET,172.66.40.166,/,2089613961,2606:4700:3108::ac42:2b5a,49,False,True,"Cloudflare, Inc.",True,cloudflare,webpack,,,
onboarding-web-bff.production-aws.zegocover.com,onboarding-web-bff - ReDoc,200,778,onboarding-web-bff.production-aws.zegocover.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-11-27T23:59:59Z,CN=production-aws.zegocover.com,production-aws.zegocover.com,*.production-aws.zegocover.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,209749231d5f6729d1ac7ad2fb980939,58bc60cf41752ad3e09598acbcf43a43f8f3872e8e63860d55467725aa344492,ctls,onboarding-web-bff.production-aws.zegocover.com,,443,https://onboarding-web-bff.production-aws.zegocover.com:443,https,text/html,GET,63.32.208.101,/,2125685474,18.203.21.146,28,False,,,True,istio-envoy,React,,https://onboarding-web-bff.production-aws.zegocover.com/docs,
onboarding-web-bff.staging-aws.zegocover.com,onboarding-web-bff - ReDoc,200,778,onboarding-web-bff.staging-aws.zegocover.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2023-11-27T23:59:59Z,CN=staging-aws.zegocover.com,staging-aws.zegocover.com,*.staging-aws.zegocover.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,7717b37e338c687aa55291dcc006b6ec,4455f65df9276e57fa4365430fc8f0f992bffa632bebf20e9c4b9703348d3192,ctls,onboarding-web-bff.staging-aws.zegocover.com,,443,https://onboarding-web-bff.staging-aws.zegocover.com:443,https,text/html,GET,52.215.202.136,/,2125685474,52.215.202.136,28,False,,,True,istio-envoy,React,,https://onboarding-web-bff.staging-aws.zegocover.com/docs,
onboarding.integrations.zego.com,,200,23085,onboarding.integrations.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=zego.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zego.com,zego.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6fb5c75a59a828da23972375ea7fef62,e2fa32508a31223cb0fe4221e3c7534a2ff7f344e66d069e60133e0d22e0ee83,ctls,onboarding.integrations.zego.com,cloudflare,443,https://onboarding.integrations.zego.com:443,https,text/html,GET,172.66.43.90,/,1677319106,2606:4700:3108::ac42:2b5a,1,False,True,"Cloudflare, Inc.",True,cloudflare,webpack,,,True
onboarding.staging.zego.com,Homepage - UK,200,157229,onboarding.staging.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=zego.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zego.com,zego.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6fb5c75a59a828da23972375ea7fef62,e2fa32508a31223cb0fe4221e3c7534a2ff7f344e66d069e60133e0d22e0ee83,ctls,onboarding.staging.zego.com,cloudflare,443,https://onboarding.staging.zego.com:443,https,text/html,GET,172.66.43.90,/,-406963989,2606:4700:3108::ac42:28a6,33,False,True,"Cloudflare, Inc.",True,cloudflare,webpack,,,
onboarding.zego.com,Homepage - UK,200,225704,onboarding.zego.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=zego.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",zego.com,zego.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6fb5c75a59a828da23972375ea7fef62,e2fa32508a31223cb0fe4221e3c7534a2ff7f344e66d069e60133e0d22e0ee83,ctls,onboarding.zego.com,cloudflare,443,https://onboarding.zego.com:443,https,text/html,GET,172.66.43.90,/,1220042774,2606:4700:3108::ac42:2b5a,49,False,True,"Cloudflare, Inc.",True,cloudflare,webpack,,,
