input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tls_wildcard_certificate,tech_,final_url,cdn_name,cdn,csp_domains_
notes.staging.tripit.com,TripIt | Online travel itinerary and trip planner,200,37785,www.staging.tripit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-19T00:00:00Z,2024-05-18T23:59:59Z,"CN=www.tripit.com, O=Concur Technologies\, Inc, L=Bellevue, ST=Washington, C=US",www.tripit.com,"Concur Technologies, Inc",www.staging.tripit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,2303c00727e6d697b273a9c2d4774e25,3c2dad8386b03f571971544ef3322d6a4799102609240cf5e9aa0dfa67f968e7,ctls,www.staging.tripit.com,443,https://notes.staging.tripit.com:443,https,envoy,text/html,GET,23.215.21.247,/,1951692205,2a02:26f0:480:ba9::11a0,184,False,,HSTS,https://www.staging.tripit.com/account/login,,,https://tripitinc.report-uri.com/r/d/csp/reportOnly
open.emea.tripit.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,,80,http://open.emea.tripit.com:80,http,CloudFront,text/html,GET,108.138.17.99,/,-217051212,108.138.17.107,20,False,,Amazon Web Services,,cloudfront,True,
plans.tripit.com,Invalid URL,400,209,plans.tripit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-05-19T00:00:00Z,2024-05-18T23:59:59Z,"CN=www.tripit.com, O=Concur Technologies\, Inc, L=Bellevue, ST=Washington, C=US",www.tripit.com,"Concur Technologies, Inc",www.staging.tripit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,2303c00727e6d697b273a9c2d4774e25,3c2dad8386b03f571971544ef3322d6a4799102609240cf5e9aa0dfa67f968e7,ctls,plans.tripit.com,443,https://plans.tripit.com:443,https,AkamaiGHost,text/html,GET,23.215.21.247,/,-976159095,2a02:26f0:480:b91::11a0,8,False,,,,,,
static.tripit.com,TripIt | Online travel itinerary and trip planner,200,22289,www.tripit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-19T00:00:00Z,2024-05-18T23:59:59Z,"CN=www.tripit.com, O=Concur Technologies\, Inc, L=Bellevue, ST=Washington, C=US",www.tripit.com,"Concur Technologies, Inc",www.staging.tripit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,2303c00727e6d697b273a9c2d4774e25,3c2dad8386b03f571971544ef3322d6a4799102609240cf5e9aa0dfa67f968e7,ctls,www.tripit.com,443,https://static.tripit.com:443,https,nginx,text/html,GET,184.30.134.71,/,1951692205,2a02:26f0:1700:182::11a0,692,False,,Nginx,https://www.tripit.com/web,,,
webmail.tripit.com,Sign in - Google Accounts,200,1335,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-19T08:21:20Z,2023-09-11T08:21:19Z,CN=www.google.com,www.google.com,,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,356ce917eecdafd8f0964fab2c01c648,5ef40e8e31e911278e5335d41c69a84dd90bf0acba633d6fa7c761005296d8e0,ctls,www.google.com,80,http://webmail.tripit.com:80,http,GSE,text/html,GET,142.250.184.243,/,1999636326,2a00:1450:4001:828::2013,32,False,,OpenGSE,https://www.google.com/a/tripit.com/ServiceLogin?service=mail&passive=true&continue=https://mail.google.com/mail/&ss=1&ltmpl=ecobhgm&nui=5&btmpl=mobile&emr=1&osid=1,,,url=https://www.google.com/accounts/AccountChooser?hd=tripit.com&btmpl=mobile&continue=https%3A%2F%2Fmail.google.com%2Fmail%2F&osid=1&service=mail&ss=1&ltmpl=ecobhgm
www.business.staging.tripit.com,TripIt | Online travel itinerary and trip planner,200,37785,www.staging.tripit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-19T00:00:00Z,2024-05-18T23:59:59Z,"CN=www.tripit.com, O=Concur Technologies\, Inc, L=Bellevue, ST=Washington, C=US",www.tripit.com,"Concur Technologies, Inc",www.staging.tripit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,2303c00727e6d697b273a9c2d4774e25,3c2dad8386b03f571971544ef3322d6a4799102609240cf5e9aa0dfa67f968e7,ctls,www.staging.tripit.com,443,https://www.business.staging.tripit.com:443,https,envoy,text/html,GET,23.215.21.247,/,1951692205,2a02:26f0:480:ba9::11a0,184,False,,HSTS,https://www.staging.tripit.com/account/login,,,https://tripitinc.report-uri.com/r/d/csp/reportOnly
www.business.tripit.com,TripIt | Online travel itinerary and trip planner,200,22289,www.tripit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-19T00:00:00Z,2024-05-18T23:59:59Z,"CN=www.tripit.com, O=Concur Technologies\, Inc, L=Bellevue, ST=Washington, C=US",www.tripit.com,"Concur Technologies, Inc",www.staging.tripit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,2303c00727e6d697b273a9c2d4774e25,3c2dad8386b03f571971544ef3322d6a4799102609240cf5e9aa0dfa67f968e7,ctls,www.tripit.com,443,https://www.business.tripit.com:443,https,nginx,text/html,GET,184.30.134.71,/,1951692205,2a02:26f0:1700:196::11a0,692,False,,Nginx,https://www.tripit.com/web,,,
www.emea.tripit.com,Invalid URL,400,209,www.emea.tripit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-05-19T00:00:00Z,2024-05-18T23:59:59Z,"CN=www.tripit.com, O=Concur Technologies\, Inc, L=Bellevue, ST=Washington, C=US",www.tripit.com,"Concur Technologies, Inc",www.staging.tripit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,2303c00727e6d697b273a9c2d4774e25,3c2dad8386b03f571971544ef3322d6a4799102609240cf5e9aa0dfa67f968e7,ctls,www.emea.tripit.com,443,https://www.emea.tripit.com:443,https,AkamaiGHost,text/html,GET,184.30.134.71,/,1470505053,2a02:26f0:1700:196::11a0,8,False,,,,,,
www.staging.tripit.com,TripIt | Online travel itinerary and trip planner,200,37785,www.staging.tripit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-19T00:00:00Z,2024-05-18T23:59:59Z,"CN=www.tripit.com, O=Concur Technologies\, Inc, L=Bellevue, ST=Washington, C=US",www.tripit.com,"Concur Technologies, Inc",www.staging.tripit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,2303c00727e6d697b273a9c2d4774e25,3c2dad8386b03f571971544ef3322d6a4799102609240cf5e9aa0dfa67f968e7,ctls,www.staging.tripit.com,443,https://www.staging.tripit.com:443,https,envoy,text/html,GET,184.30.134.71,/,1951692205,2a02:26f0:1700:196::11a0,184,False,,HSTS,https://www.staging.tripit.com/account/login,,,https://tripitinc.report-uri.com/r/d/csp/reportOnly
www.tripit.com,TripIt | Online travel itinerary and trip planner,200,22289,www.tripit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-19T00:00:00Z,2024-05-18T23:59:59Z,"CN=www.tripit.com, O=Concur Technologies\, Inc, L=Bellevue, ST=Washington, C=US",www.tripit.com,"Concur Technologies, Inc",www.staging.tripit.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,2303c00727e6d697b273a9c2d4774e25,3c2dad8386b03f571971544ef3322d6a4799102609240cf5e9aa0dfa67f968e7,ctls,www.tripit.com,443,https://www.tripit.com:443,https,nginx,text/html,GET,23.215.21.247,/,-2017593730,2a02:26f0:3400:180::11a0,692,False,,Nginx,,,,
