new,host,a,soa,status_code,cname,cdn,cdn-name,txt,ns,aaaa,mx,caa
[x],ssotest.informatica.com,"35.71.190.245, 52.223.7.86","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,"informaticatest.customdomains.okta.com, ok3-custom-crtrs.okta.com, ok3-custom-crtrs.oktaedge.okta.com, aaa00e5cffb63d634.awsglobalaccelerator.com",,,v=spf1 include:spf.protection.outlook.com -all,,,,
[x],static.informaticacloud.com,23.5.224.119,"n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"static.informaticacloud.com.edgekey.net, e6173.b.akamaiedge.net",,,,,,,
[x],status.informatica.com,52.215.192.133,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",NOERROR,qdkyv53bnw6d.stspg-customer.com,,,,,,,"letsencrypt.org, globalsign.com;"
[x],stgw.informatica.com,80.169.185.18,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
[x],su-sbc1.informatica.com,91.244.125.50,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
[x],success-sit.informatica.com,198.202.141.82,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
[x],success-stage.informatica.com,2.17.185.153,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"experience-stage.informatica.com.edgekey.net, e2762.a.akamaiedge.net",,,,,,,
[x],success.informatica.com,2.23.129.204,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,"success.informatica.com.edgekey.net, e2762.a.akamaiedge.net",,,,,,,
[x],sulxum02.informatica.com,,,NOERROR,,,,,,,,
[x],suparking.informatica.com,194.165.163.150,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,v=spf1 include:spf.protection.outlook.com -all,,,,
[x],support.informatica.com,"85.222.140.10, 85.222.140.6, 85.222.140.11","dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,"support.informatica.com.00d41000000dqx7eai.live.siteforce.com, 1p.edge2.salesforce.com, europe.edge2.salesforce.com, fra.edge2.salesforce.com",,,,,,,
[x],swiftgit.informatica.com,13.232.26.190,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,
