input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,csp_domains_,final_url,tls_mismatched,tls_subject_org_
api-backup.us-east-1.mongodb.com,MongoDB Cloud | MongoDB,200,479801,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://api-backup.us-east-1.mongodb.com:443,https,,text/html,GET,54.204.237.208,/,-1025222706,54.204.237.208,HSTS,364,False,,True,https://*.mongodb.com,https://www.mongodb.com/cloud,,
api.mongodb.com,MongoDB API Documentation,200,6561,api.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-12-26T23:59:59Z,CN=api.mongodb.com,api.mongodb.com,api.mongodb.org,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a46273bae0a23515e727f6be8070469f,54e0f63c94faf3846338aa395505f41a037d5c911288b8684e4e1a8163202619,ctls,api.mongodb.com,cloudfront,443,https://api.mongodb.com:443,https,AmazonS3,text/html,GET,52.222.214.42,/,-2019842648,2600:9000:223d:3e00:d:fa9c:1dc0:93a1,Google Tag Manager,183,False,True,,,,,
api.support.mongodb.com,,404,37,api.support.mongodb.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-05T13:37:53Z,2023-08-03T13:37:52Z,CN=api.support.mongodb.com,api.support.mongodb.com,api.support.mongodb.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,df64ef0b0145bcc1818fa89aae889593,b688dd06e57ccb7a71c3f0887369cec5709fdc6a3f19da93d4993a24f529b2e7,ctls,api.support.mongodb.com,fastly,443,https://api.support.mongodb.com:443,https,,application/json,GET,146.75.122.133,/,-95468444,146.75.122.133,Varnish,1,False,True,,,,,
app.go.mongodb.com,404 - Not found or no permission to access,404,1330,app.go.mongodb.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-22T00:00:00Z,2024-04-21T23:59:59Z,"CN=*.t.en25.com, O=Oracle Corporation, L=Redwood City, ST=California, C=US",*.t.en25.com,*.t.en25.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f6874b70661feba537ceb9752db0abf6,fb2644329652525516e4db4b9015178214673244ce80601c993858856fcf8ebd,ctls,app.go.mongodb.com,oracle,443,https://app.go.mongodb.com:443,https,,text/html,GET,147.154.45.223,/,-1044085938,147.154.45.223,Bootstrap,33,False,True,True,,,True,Oracle Corporation
argocd-dev.corp.mongodb.com,,403,19,argocd-dev.corp.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-23T21:37:34Z,2023-07-22T21:37:33Z,CN=argocd-dev.corp.mongodb.com,argocd-dev.corp.mongodb.com,argocd-dev.corp.mongodb.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e0f8fc66d9d4b21b89bacd8aefd5bd97,b03dac11c1e952d3faeadb714b837e3e105d4ec84c2c9bb6dec417e35793e0df,ctls,argocd-dev.corp.mongodb.com,,443,https://argocd-dev.corp.mongodb.com:443,https,mdbws,text/plain,GET,3.231.133.249,/,419813485,3.231.133.249,,1,False,,,,,,
argos.corp.mongodb.com,MongoDB - Sign In,200,29322,corp.mongodb.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T19:42:46Z,2023-09-04T19:42:45Z,CN=corp.mongodb.com,corp.mongodb.com,corp.mongodb.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,103b7b1152ff279a1d3e8be1e0576f54,4a8028007d7448ec350ecbf63ee8ec4af0cd2927be9d443841811f2df6bcb68c,ctls,corp.mongodb.com,,443,https://argos.corp.mongodb.com:443,https,nginx,text/html,GET,54.243.81.147,/,,34.204.138.12,Nginx,399,False,,,,https://corp.mongodb.com/oauth2/v1/authorize?client_id=0oa3e3dsu168G2pm3297&redirect_uri=https%3A%2F%2Flogin.corp.mongodb.com%2Flogin%2Fokta%2Fcallback&response_type=code&scope=openid+profile+email+groups&state=4bb68066-52bd-4259-b55c-14ed3f65534b,,
artifactory.corp.mongodb.com,JFrog,200,3029,artifactory.corp.mongodb.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-09-23T23:59:59Z,CN=artifactory.corp.mongodb.com,artifactory.corp.mongodb.com,artifactory.corp.mongodb.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e0bc81abaa71198e2adfaf41af853aa8,9c3e2b46164a00b416936a450dcca027abde812fa44deb505dcd1c4b3eda0535,ctls,artifactory.corp.mongodb.com,,443,https://artifactory.corp.mongodb.com:443,https,,text/html,GET,35.169.55.77,/,-138391155,3.231.181.98,,1,False,,,,,,
atlantis-githook.corp.mongodb.com,404 | MongoDB,404,10171,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://atlantis-githook.corp.mongodb.com:443,https,,text/html,GET,52.55.204.142,/,-337508236,34.204.138.12,HSTS,148,False,,True,https://*.mongodb.com,https://www.mongodb.com/404,,
atlas-pricing.corp.mongodb.com,MongoDB - Sign In,200,29277,corp.mongodb.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T19:42:46Z,2023-09-04T19:42:45Z,CN=corp.mongodb.com,corp.mongodb.com,corp.mongodb.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,103b7b1152ff279a1d3e8be1e0576f54,4a8028007d7448ec350ecbf63ee8ec4af0cd2927be9d443841811f2df6bcb68c,ctls,corp.mongodb.com,,443,https://atlas-pricing.corp.mongodb.com:443,https,nginx,text/html,GET,34.204.138.12,/,,54.210.21.1,Nginx,399,False,,,,https://corp.mongodb.com/oauth2/v1/authorize?client_id=0oa3e3dsu168G2pm3297&redirect_uri=https%3A%2F%2Flogin.corp.mongodb.com%2Flogin%2Fokta%2Fcallback&response_type=code&scope=openid+profile+email+groups&state=3e624854-8e44-46db-97ea-183f4bf1241a,,
auth-qa.mongodb.com,MongoDB-dev - Sign In,200,18000,auth-qa.mongodb.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-08T18:38:03Z,2023-09-06T18:38:02Z,CN=auth-qa.mongodb.com,auth-qa.mongodb.com,auth-qa.mongodb.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cede7410cdfa23b2af49233710694c75,064b842b5a87f9e084c3b4fcdd2ee4f44cd9940144bd3ee5eb9f8a1c9925815f,ctls,auth-qa.mongodb.com,,443,https://auth-qa.mongodb.com:443,https,nginx,text/html,GET,15.197.151.86,/,-599803935,3.33.152.248,Nginx,469,False,,,,,,
auth.mongodb.com,MongoDB Cloud - Sign In,200,10061,auth.mongodb.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-25T18:51:42Z,2023-08-23T18:51:41Z,CN=auth.mongodb.com,auth.mongodb.com,auth.mongodb.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d26b7b5e70d319269a2da9e4ce38e4d3,2ef7768bcf1331c4b7ba9df227236f85f606a67311861efb92aa4f8c05cfce8d,ctls,auth.mongodb.com,,443,https://auth.mongodb.com:443,https,nginx,text/html,GET,34.223.206.19,/,-599803935,34.223.206.17,Nginx,241,False,,,,,,
autotc-inspector-staging.corp.mongodb.com,AutoTC Inspector,200,2222,autotc-inspector-staging.corp.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,2024-03-14T23:59:59Z,CN=*.autotc-inspector-staging.corp.mongodb.com,*.autotc-inspector-staging.corp.mongodb.com,autotc-inspector-staging.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,2aaacf71442bb644bb55bd9e466139a3,17db97d5acb30f4162ef7590a83247eaac34f4204e434d75175db780424b189e,ctls,autotc-inspector-staging.corp.mongodb.com,cloudfront,443,https://autotc-inspector-staging.corp.mongodb.com:443,https,AmazonS3,text/html,GET,18.66.122.27,/,1797271389,18.66.122.18,Amazon Web Services,1,False,True,True,,,,
autotc-inspector.corp.mongodb.com,AutoTC Inspector,200,2222,autotc-inspector.corp.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,2024-03-14T23:59:59Z,CN=*.autotc-inspector.corp.mongodb.com,*.autotc-inspector.corp.mongodb.com,autotc-inspector.corp.mongodb.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,640fd7171e48594d508fb9906fd5e568,fbcd4c25daeefb8e45ace0300d30e31d136ec094b20ec132be57c3fac9eb375d,ctls,autotc-inspector.corp.mongodb.com,cloudfront,443,https://autotc-inspector.corp.mongodb.com:443,https,AmazonS3,text/html,GET,52.222.214.54,/,-1840701440,52.222.214.44,Amazon Web Services,1,False,True,True,,,,
avocadoforfooda.corp.mongodb.com,404 | MongoDB,404,10171,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://avocadoforfooda.corp.mongodb.com:443,https,,text/html,GET,54.243.81.147,/,,54.210.21.1,HSTS,148,False,,True,https://*.mongodb.com,https://www.mongodb.com/404,,
aws.stitch.mongodb.com,MongoDB: The Developer Data Platform | MongoDB,200,723954,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://aws.stitch.mongodb.com:443,https,,text/html,GET,52.21.89.200,/,-341556553,54.175.147.155,HSTS,457,False,,True,https://*.mongodb.com,https://www.mongodb.com/,,
backup-prod-abbyinlife.discover.mongodb.com,MongoDB: The Developer Data Platform | MongoDB,200,723954,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://backup-prod-abbyinlife.discover.mongodb.com:443,https,,text/html,GET,54.175.147.155,/,-27074921,52.206.222.245,HSTS,457,False,,True,https://*.mongodb.com,https://www.mongodb.com/,,
barque.corp.mongodb.com,MongoDB - Sign In,200,29199,corp.mongodb.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T19:42:46Z,2023-09-04T19:42:45Z,CN=corp.mongodb.com,corp.mongodb.com,corp.mongodb.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,103b7b1152ff279a1d3e8be1e0576f54,4a8028007d7448ec350ecbf63ee8ec4af0cd2927be9d443841811f2df6bcb68c,ctls,corp.mongodb.com,,443,https://barque.corp.mongodb.com:443,https,nginx,text/html,GET,44.210.32.178,/,,34.206.163.91,Nginx,399,False,,,,https://corp.mongodb.com/oauth2/v1/authorize?client_id=0oa3e3dsu168G2pm3297&redirect_uri=https%3A%2F%2Flogin.corp.mongodb.com%2Flogin%2Fokta%2Fcallback&response_type=code&scope=openid+profile+email+groups&state=a9dac6fe-fc0a-4fda-bd75-cc70436ee4eb,,
bazel-telemetry.corp.mongodb.com,,401,,bazel-telemetry.corp.mongodb.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-04T12:26:13Z,2023-09-02T12:26:12Z,CN=bazel-telemetry.corp.mongodb.com,bazel-telemetry.corp.mongodb.com,bazel-telemetry.corp.mongodb.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,875ccad646080cfb1edfd3ec5c9c3f10,2632569602ba9d75fb20e692f0640f4641476379221df918e8362c13814bde4f,ctls,bazel-telemetry.corp.mongodb.com,,443,https://bazel-telemetry.corp.mongodb.com:443,https,Python/3.9 aiohttp/3.8.1,application/octet-stream,GET,54.243.81.147,/,-1840324437,54.210.21.1,Python:3.9,1,False,,,,,,
blog.mongodb.com,MongoDB Blog,200,423634,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://blog.mongodb.com:443,https,,text/html,GET,52.55.204.142,/,,44.205.161.131,HSTS,2317,False,,True,https://www.mongodb.com,https://www.mongodb.com/blog,,
botanist.corp.mongodb.com,MongoDB - Sign In,200,29208,corp.mongodb.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T19:42:46Z,2023-09-04T19:42:45Z,CN=corp.mongodb.com,corp.mongodb.com,corp.mongodb.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,103b7b1152ff279a1d3e8be1e0576f54,4a8028007d7448ec350ecbf63ee8ec4af0cd2927be9d443841811f2df6bcb68c,ctls,corp.mongodb.com,,443,https://botanist.corp.mongodb.com:443,https,nginx,text/html,GET,54.220.131.254,/,,54.220.131.254,Nginx,399,False,,,,https://corp.mongodb.com/oauth2/v1/authorize?client_id=0oa3e3dsu168G2pm3297&redirect_uri=https%3A%2F%2Flogin.corp.mongodb.com%2Flogin%2Fokta%2Fcallback&response_type=code&scope=openid+profile+email+groups&state=54d8ae00-282c-4eb5-ac9e-78b425674fa4,,
buildbaron.corp.mongodb.com,MongoDB - Sign In,200,29181,corp.mongodb.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T19:42:46Z,2023-09-04T19:42:45Z,CN=corp.mongodb.com,corp.mongodb.com,corp.mongodb.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,103b7b1152ff279a1d3e8be1e0576f54,4a8028007d7448ec350ecbf63ee8ec4af0cd2927be9d443841811f2df6bcb68c,ctls,corp.mongodb.com,,443,https://buildbaron.corp.mongodb.com:443,https,nginx,text/html,GET,44.205.161.131,/,,52.55.204.142,Nginx,399,False,,,,https://corp.mongodb.com/oauth2/v1/authorize?client_id=0oa3e3dsu168G2pm3297&redirect_uri=https%3A%2F%2Flogin.corp.mongodb.com%2Flogin%2Fokta%2Fcallback&response_type=code&scope=openid+profile+email+groups&state=fe8ba694-fa73-400a-b5ca-247f697cd672,,
cdw.corp.mongodb.com,404 | MongoDB,404,10171,www.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-09T23:59:59Z,CN=*.mongodb.com,*.mongodb.com,*.corp.mongodb.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,990712232470676d13e0cc6e370df23c,8f451e8be404de6c805982378228e3a5cbfef64af382155042642a5b3f94d8e8,ctls,www.mongodb.com,,443,https://cdw.corp.mongodb.com:443,https,,text/html,GET,44.205.161.131,/,,52.55.204.142,HSTS,148,False,,True,https://*.mongodb.com,https://www.mongodb.com/404,,
cedar.mongodb.com,,404,19,cedar.mongodb.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-13T00:00:00Z,2024-04-10T23:59:59Z,CN=cedar.mongodb.com,cedar.mongodb.com,cedar.mongodb.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6216f556dde2ce1a78acc250633f3bcf,3d84189909fd3641bf0e74f73d3584c25cb0d7e9f1ebe777abd46ee93a8cd2fb,ctls,cedar.mongodb.com,,443,https://cedar.mongodb.com:443,https,,text/plain,GET,174.129.125.1,/,-138391155,3.218.210.26,,2,False,,,,,,
charts-api-qa.mongodb.com,,404,,charts-api-qa.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-15T20:48:18Z,2023-09-13T20:48:17Z,CN=charts-api-qa.mongodb.com,charts-api-qa.mongodb.com,charts-api-qa.mongodb.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6b1d80682e5c6faab3627107b05056a1,2abe2ae0477db480bf0060cdaa3dea823a36147c6ef782d3cbd832f7c5e5f46d,ctls,charts-api-qa.mongodb.com,,443,https://charts-api-qa.mongodb.com:443,https,mdbws,,GET,52.200.206.35,/,-1840324437,52.200.206.35,,1,False,,,,,,
charts-api-staging.mongodb.com,,404,,charts-api-staging.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-15T21:01:32Z,2023-09-13T21:01:31Z,CN=charts-api-staging.mongodb.com,charts-api-staging.mongodb.com,charts-api-staging.mongodb.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,faa20db3fcc332b438f60dcd704c7695,d4d4f560216451f24b158c88bc482f7a536f03fa2ae788c06df5fdce4895df5a,ctls,charts-api-staging.mongodb.com,,443,https://charts-api-staging.mongodb.com:443,https,mdbws,,GET,3.212.215.35,/,-1840324437,3.212.215.35,,1,False,,,,,,
charts-api.mongodb.com,,404,,charts-api.mongodb.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-15T20:44:26Z,2023-09-13T20:44:25Z,CN=charts-api.mongodb.com,charts-api.mongodb.com,charts-api.mongodb.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0a7eddb7a847d4089b8d4a364b9b0d70,cae49cd96cc4debc12aa71fc91828e9f4cbc1aaec322db80fb45520bfc8ab503,ctls,charts-api.mongodb.com,,443,https://charts-api.mongodb.com:443,https,mdbws,,GET,34.227.4.145,/,-1840324437,34.227.4.145,,1,False,,,,,,
