new,host,a,cname,soa,status_code,ns,has_internal_ips,internal_ips,aaaa,txt,mx,caa
,access.epam.com,"104.18.29.160, 104.18.28.160",,"alex.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"celine.ns.cloudflare.com, alex.ns.cloudflare.com",,,"2606:4700::6812:1ca0, 2606:4700::6812:1da0",,,
,access.integration.epm-iga.projects.epam.com,"65.9.86.62, 65.9.86.16, 65.9.86.57, 65.9.86.87",,"ns-660.awsdns-18.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1168.awsdns-18.org, ns-1694.awsdns-19.co.uk, ns-421.awsdns-52.com, ns-660.awsdns-18.net",,,,,,
,acronis.epam.com,142.250.186.83,ghs.google.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,2a00:1450:4001:813::2013,,,
,acs.cloud.epam.com,,ec2-3-69-159-141.eu-central-1.compute.amazonaws.com,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,,,,
,admin-portal.tesla.epm-slkr.projects.epam.com,"3.69.75.120, 3.66.242.221, 52.57.236.111",,"ns-179.awsdns-22.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,admin-portal.walmart.epm-slkr.projects.epam.com,"3.66.242.221, 3.69.75.120, 52.57.236.111",,"ns-179.awsdns-22.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,admin.gaia.axa.epm-rtc.projects.epam.com,52.1.249.62,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,admin.hemera.axa.epm-rtc.projects.epam.com,52.1.249.62,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,admin.nyx.axa.epm-rtc.projects.epam.com,52.1.249.62,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,admin.privacy.epam.com,"104.18.12.91, 104.18.13.91",admin.privacy.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:c5b, 2606:4700::6812:d5b",,,
,admin.telescopeai-stage.epm-sso.projects.epam.com,"104.18.12.91, 104.18.13.91",admin.telescopeai-stage.epm-sso.projects.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:d5b, 2606:4700::6812:c5b",,,
,ai.lab.epam.com,,ai.lab.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:d5b, 2606:4700::6812:c5b",,,
,airflow.ref.gcp.gnrg-osdu.projects.epam.com,34.67.208.38,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,
,airflow.reference.gcp.gnrg-osdu.projects.epam.com,34.132.195.128,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,
,airflow.slbdemo.gcp.gnrg-osdu.projects.epam.com,34.170.164.182,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,
,allidev.epam.com,217.21.63.44,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ami.epam.com,"13.107.246.45, 13.107.213.45","amiepamcom.azureedge.net, amiepamcom.afd.azureedge.net, star-azureedge-prod.trafficmanager.net, dual.part-0017.t-0009.t-msedge.net, part-0017.t-0009.t-msedge.net","ns1.t-msedge.net, msnhst.microsoft.com",NOERROR,,,,"2620:1ec:46::45, 2620:1ec:bdf::45",,,
,antiphishing.epam.com,217.21.63.198,evbyminsa0092.minsk.epam.com,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,anywhere-referral.epam.com,"65.9.84.126, 65.9.84.2, 65.9.84.225, 65.9.84.31",,"ns-491.awsdns-61.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1408.awsdns-48.org, ns-1794.awsdns-32.co.uk, ns-491.awsdns-61.com, ns-956.awsdns-55.net",,,,,,
,anywhere.epam.com,"13.32.99.114, 13.32.99.51, 13.32.99.76, 13.32.99.77",,"ns-389.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-389.awsdns-48.com, ns-993.awsdns-60.net, ns-1220.awsdns-24.org, ns-1539.awsdns-00.co.uk",,,,facebook-domain-verification=0s2zxbnyi4dmp1b03kkm8qlncdkrj4,,
,apex.lab.epam.com,"52.206.151.43, 34.204.114.239",epm-nafs-dev-alb-1279070717.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,api-pre.connect.epam.com,52.157.163.99,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,api-qa.connect.epam.com,"104.18.13.91, 104.18.12.91",api-qa.connect.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:c5b, 2606:4700::6812:d5b",,,
,api-stg.connect.epam.com,"104.18.12.91, 104.18.13.91",api-stg.connect.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:c5b, 2606:4700::6812:d5b",,,
,api.alkoponster.mdtu-ddm.projects.epam.com,3.73.156.88,,"ns-302.awsdns-37.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,api.connect.epam.com,13.93.34.61,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,api.dev.epmp-aos.projects.epam.com,20.126.209.112,,"maisie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,api.epam.com,"52.222.139.6, 52.222.139.87, 52.222.139.10, 52.222.139.48",,"ns-93.awsdns-11.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1524.awsdns-62.org, ns-1902.awsdns-45.co.uk, ns-838.awsdns-40.net, ns-93.awsdns-11.com",,,,,,
,api.onboarder.epam.com,"104.18.13.91, 104.18.12.91",api.onboarder.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:c5b, 2606:4700::6812:d5b",,,
,api.opportunities.epam.com,"104.18.12.91, 104.18.13.91",api.opportunities.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:d5b, 2606:4700::6812:c5b",,,
,api.stage.epmp-aos.projects.epam.com,20.101.29.52,,"maisie.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,api.videoportal.epam.com,"104.18.20.23, 104.18.21.23",api.videoportal.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:1517, 2606:4700::6812:1417",,,
,api.videoportalqa.epam.com,"104.18.10.227, 104.18.11.227",api.videoportalqa.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:ae3, 2606:4700::6812:be3",,,
,apm-cluster12.cloudapp.epam.com,34.36.124.10,apm.app.epam.com,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,apm-cluster6.cloudapp.epam.com,34.36.124.10,apm.app.epam.com,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,app.gaia.axa.epm-rtc.projects.epam.com,52.1.249.62,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,app.hemera.axa.epm-rtc.projects.epam.com,52.1.249.62,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,app.nyx.axa.epm-rtc.projects.epam.com,,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,app.uat.ra.epm-rtc.projects.epam.com,107.21.119.201,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,apps.4-10-okd-sandbox.aws.main.edp.projects.epam.com,10.0.200.29,,"ns-356.awsdns-44.com, awsdns-hostmaster.amazon.com",NOERROR,,True,10.0.200.29,,,,
,asmt.epam.com,"104.18.8.37, 104.18.9.37",asmt.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:825, 2606:4700::6812:925",,,
,assessment.epam.com,217.21.63.44,ecsc00a04f88.epam.com,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,assist.epam.com,"104.18.13.91, 104.18.12.91",assist.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:d5b, 2606:4700::6812:c5b",,,
,auth.crm.epam.com,"104.18.7.36, 104.18.6.36",auth.crm.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:724, 2606:4700::6812:624",,,
,auth.stage16.epm-crm.projects.epam.com,217.21.63.42,ecsc001056c3.epam.com,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,auth.stageaz.epm-crm.projects.epam.com,"104.18.12.91, 104.18.13.91",auth.stageaz.epm-crm.projects.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:c5b, 2606:4700::6812:d5b",,,
,authentication.elearn.epam.com,51.107.41.22,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,author.infoportal-aws.epm-iass.projects.epam.com,"10.79.17.205, 10.79.17.218",,"ns-1088.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,,True,"10.79.17.205, 10.79.17.218",,,,
,authserver.epm-surv.projects.epam.com,91.120.43.99,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,autocode-next.lab.epam.com,"99.86.91.71, 99.86.91.21, 99.86.91.60, 99.86.91.114",dowovwibr41cx.cloudfront.net,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,,,
,autocode.lab.epam.com,"99.86.91.21, 99.86.91.71, 99.86.91.114, 99.86.91.60",dowovwibr41cx.cloudfront.net,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,,,
,autoint.epam.com,"104.18.13.91, 104.18.12.91",autoint.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:c5b, 2606:4700::6812:d5b",,,
,avapac.epam.com,"174.128.60.116, 58.211.245.232",,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,avspb.epam.com,46.229.218.10,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,aws.radar.stage.epam.com,"10.68.44.101, 10.68.44.146",,"ns-108.awsdns-13.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-724.awsdns-26.net, ns-108.awsdns-13.com, ns-1476.awsdns-56.org, ns-1753.awsdns-27.co.uk",True,"10.68.44.101, 10.68.44.146",,,,
,ayasha.radar.epam.com,,,,NOERROR,,,,,,,
,azure.epmc-stc.projects.epam.com,,,"ns1-01.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,"ns2-01.azure-dns.net, ns3-01.azure-dns.org, ns4-01.azure-dns.info, ns1-01.azure-dns.com",,,,,,
,badges.epam.com,213.184.243.130,evbyminsd4f5d.minsk.epam.com,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,bcp-ti.radar.epam.com,54.144.128.85,,,NOERROR,,,,,,,
,benefits.epam.com,"104.18.13.91, 104.18.12.91","info.epam.com, info.epam.com.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:c5b, 2606:4700::6812:d5b",,,
,bestpracticetest.lab.epam.com,217.21.63.159,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,bid472r.20543775t.anywhere.epam.com,158.247.25.145,,"ns-389.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,billing.epam.com,"104.18.24.148, 104.18.25.148",billing.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:1894, 2606:4700::6812:1994",,,
,blackbook.epam.com,"104.18.2.19, 104.18.3.19",blackbook.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:213, 2606:4700::6812:313",,,
,bnb.epam.com,"104.18.13.91, 104.18.12.91",bnb.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:c5b, 2606:4700::6812:d5b",,,
,booking.lab.epam.com,"104.18.12.91, 104.18.13.91",booking.lab.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:d5b, 2606:4700::6812:c5b",,,
,breezemarketing.radar.epam.com,,,,NOERROR,,,,,,,
,btnc-dev.sap-supp.projects.epam.com,85.223.209.149,ecsd003002be.epam.com,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,btnc-stage.sap-supp.projects.epam.com,85.223.209.147,ecsd003002bf.epam.com,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,business.anywhere.epam.com,"199.60.103.228, 199.60.103.28","21383744.group44.sites.hubspot.net, group44.sites.hscoscdn40.net","jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,"2606:2c40::c73c:67e4, 2606:2c40::c73c:671c",,,
,byod.epam.com,217.21.63.1,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,cactus.epam.com,"104.18.27.165, 104.18.26.165",cactus.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:1aa5, 2606:4700::6812:1ba5",,,
,calc.anywhere.epam.com,"13.225.34.69, 13.225.34.55, 13.225.34.128, 13.225.34.58",,"ns-22.awsdns-02.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1076.awsdns-06.org, ns-1678.awsdns-17.co.uk, ns-22.awsdns-02.com, ns-627.awsdns-14.net",,,,,,
,calendar.time.epam.com,"104.18.10.86, 104.18.11.86",calendar.time.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:a56, 2606:4700::6812:b56",,,
,calorieburning.epam.com,"104.18.12.91, 104.18.13.91",calorieburning.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:d5b, 2606:4700::6812:c5b",,,
,carbon.epam.com,"104.18.13.91, 104.18.12.91",carbon.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:d5b, 2606:4700::6812:c5b",,,
,carbon.lab.epam.com,,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,cards.hungary.epam.com,"104.18.12.91, 104.18.13.91",cards.hungary.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:d5b, 2606:4700::6812:c5b",,,
,careerslink.epam.com,,sendgrid.net,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,"ns10.dnsmadeeasy.com, ns15.dnsmadeeasy.com, ns11.dnsmadeeasy.com, ns13.dnsmadeeasy.com, ns12.dnsmadeeasy.com, ns14.dnsmadeeasy.com",,,,"mailru-verification: 2e3995fa8a7d00e0, p8bnb2lp424dkl3c4io1aemiei, v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all, google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE","mx.sendgrid.net, mx2.sendgrid.net","amazonaws.com, godaddy.com"
,castorama.epam.com,217.21.63.3,evbyminsd0204.epam.com,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,cdn.epam.com,52.219.169.140,,"ns-1751.awsdns-26.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-386.awsdns-48.com, ns-859.awsdns-43.net, ns-1046.awsdns-02.org, ns-1751.awsdns-26.co.uk",,,,,,
,cdn.videoportal.epam.com,,dnv3gm2ogactm.cloudfront.net,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,,,
,certificates.epam.com,,certificates.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,,,
,chef-de.aws.staffing.stage.epam.com,10.68.116.209,,"ns-324.awsdns-40.com, awsdns-hostmaster.amazon.com",NOERROR,,True,10.68.116.209,,,,
,chemsearch.lab.epam.com,46.229.218.14,ecse0010072b.epam.com,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,chemul.els-rjed.projects.epam.com,"104.18.12.91, 104.18.13.91",chemul.els-rjed.projects.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:d5b, 2606:4700::6812:c5b",,,
,chemul.epam.com,79.133.71.110,ecse0010012f.epam.com,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ci.radar.epam.com,"10.68.44.175, 10.68.44.89",internal-nonprod-infra-apps-alb-1477194119.eu-west-1.elb.amazonaws.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1053.awsdns-03.org, ns-2023.awsdns-60.co.uk, ns-341.awsdns-42.com, ns-739.awsdns-28.net",True,"10.68.44.175, 10.68.44.89",,,,
,clearml-mgmt-vodc.lab.epam.com,"104.18.12.91, 104.18.13.91",clearml-mgmt-vodc.lab.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:d5b, 2606:4700::6812:c5b",,,
,client.epm-iga.projects.epam.com,"10.68.49.53, 10.68.49.4",,"ns-660.awsdns-18.net, awsdns-hostmaster.amazon.com",NOERROR,,True,"10.68.49.53, 10.68.49.4",,,,
,clms.epam.com,91.120.43.102,evhubudsa0216.epam.com,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,cloud.epam.com,"104.18.15.81, 104.18.14.81",cloud.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:e51, 2606:4700::6812:f51",,,
,cloudapp.epam.com,"104.18.12.91, 104.18.13.91",cloudapp.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:d5b, 2606:4700::6812:c5b",,,
,cloudflare.epm-osm.projects.epam.com,"104.18.13.91, 104.18.12.91",cloudflare.epm-osm.projects.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:d5b, 2606:4700::6812:c5b",,,
,cognito.epam.com,195.56.119.216,,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,collaborator.epm-soc.projects.epam.com,18.159.64.109,,,NOERROR,,,,,,mail.collaborator.epm-soc.projects.epam.com,
,community.epam.com,35.181.133.27,redirect.wearecommunity.io,"ns-951.awsdns-54.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,competency.epam.com,"104.18.13.91, 104.18.12.91",competency.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:d5b, 2606:4700::6812:c5b",,,
,concur.epam.com,"104.18.2.133, 104.18.3.133",concur.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:385, 2606:4700::6812:285",,,
,connect.epam.com,"13.107.246.44, 13.107.213.44","amisite.azureedge.net, amisite.afd.azureedge.net, star-azureedge-prod.trafficmanager.net, dual.part-0016.t-0009.t-msedge.net, part-0016.t-0009.t-msedge.net","ns1.t-msedge.net, msnhst.microsoft.com",NOERROR,,,,"2620:1ec:bdf::44, 2620:1ec:46::44",,,
,consifsapp1.radar.epam.com,,,,NOERROR,,,,,,,
,console-preprod.cloudapp.epam.com,"104.18.12.91, 104.18.13.91",console-preprod.cloudapp.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:c5b, 2606:4700::6812:d5b",,,
,console.api.datahub.epam.com,"104.18.13.91, 104.18.12.91",console.api.datahub.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:c5b, 2606:4700::6812:d5b",,,
,console.cloudapp.epam.com,"104.18.12.91, 104.18.13.91",console.cloudapp.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:c5b, 2606:4700::6812:d5b",,,
,continuity.epam.com,"104.18.12.91, 104.18.13.91",continuity.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:d5b, 2606:4700::6812:c5b",,,
,contribute.lab.epam.com,217.21.63.99,ecsc00105e8b.epam.com,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,core.walmart.epm-slkr.projects.epam.com,"3.66.242.221, 52.57.236.111, 3.69.75.120",,"ns-179.awsdns-22.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,crm.epam.com,"104.18.6.36, 104.18.7.36",crm.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:724, 2606:4700::6812:624",,,
,crm.stage16.epm-crm.projects.epam.com,217.21.63.42,ecsc001056c3.epam.com,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,crmstaging.epam.com,217.21.63.115,evbyminsd5217.minsk.epam.com,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,crowd.epam.com,"104.18.12.91, 104.18.13.91",crowd.epam.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,"2606:4700::6812:c5b, 2606:4700::6812:d5b",,,
,cs-demo.health.epam.com,217.21.63.46,ecsc00a00fc9.epam.com,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,ctc.epam.com,,ctc.epam.com.cdn.cloudflare.net,,NOERROR,,,,,,,
,customersdevawsstreaming.radar.epam.com,54.144.128.85,,,NOERROR,,,,,,,
,customersupport.epam.com,91.120.43.202,evhubudsa0074.budapest.epam.com,"a1-195.akam.net, helpdesk.epam.com",NOERROR,,,,,,,
,dashboard.connect.epm-plx.projects.epam.com,20.54.193.40,,"ns1-06.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,"\""heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/awc-prod/dashboard-anywhere-connect\""",,
